ep_len_mean,time_elapsed,explained_variance,fps,policy_entropy,approxkl,total_timesteps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,value_loss,true_reward,policy_loss
106.02,144.43011093139648,0.9755354300141335,54055,4.986396,0.0035357035,3800000,0.037388,2.1756380992556625,152,38000,0.13013348,-0.009262938,-0.002842183
109.46,145.32844233512878,0.9764942694455385,53333,4.97911,0.0024107008,3825000,0.021688,2.8844997180888274,153,38250,0.10988326,-0.0013075931,-0.0019859616
122.47,146.2575981616974,0.9827969372272491,51176,4.974147,0.002735633,3850000,0.022591999,3.019636935291595,154,38500,0.084145986,-0.001834781,-0.0020577754
119.09,147.18686294555664,0.9829809423536062,53846,4.975478,0.002835426,3875000,0.023667999,2.7128393068304053,155,38750,0.08351058,-0.0014307667,-0.0024084481
112.82,148.09094190597534,0.9761635083705187,53298,4.977521,0.0027185164,3900000,0.023648,2.7734036565087536,156,39000,0.103322506,-0.0002284552,-0.002268692
118.62,148.99177932739258,0.9756109360605478,49878,4.9769526,0.003422143,3925000,0.0345,3.147901278525246,157,39250,0.11415537,-0.0003438362,-0.0023470775
112.93,149.93596267700195,0.9669095538556576,51402,4.9747744,0.0035240953,3950000,0.0344,2.6834534421485885,158,39500,0.16475543,-0.001174721,-0.0022193803
114.83,150.86366081237793,0.9721199031919241,53136,4.9712186,0.0030111682,3975000,0.028583998,3.00137791682957,159,39750,0.1365987,-0.00017152318,-0.0021963357
120.16,151.79772973060608,0.9796729274094105,53481,4.9662433,0.002665449,4000000,0.022996001,3.186487940836969,160,40000,0.100763954,-0.0001748322,-0.0025434303
113.18,152.69493341445923,0.9786564409732819,54134,4.9636908,0.0032792878,4025000,0.030644003,2.9353609952837814,161,40250,0.110703826,-0.0008201075,-0.0021782275
101.01,153.60158324241638,0.9725177995860577,54387,4.959727,0.002920275,4050000,0.024472002,2.482117536767946,162,40500,0.14217822,-0.0053775,-0.0019983482
93.01,154.48115372657776,0.9642240069806576,53848,4.9513083,0.0035109625,4075000,0.035664,2.696905037058823,163,40750,0.19132452,-0.002904019,-0.0018003667
112.03,155.3752555847168,0.9779511634260416,53099,4.9451613,0.00278247,4100000,0.024303999,2.6704896213967912,164,41000,0.1062752,0.00070635835,-0.0025225969
113.35,156.28922581672668,0.9795785844326019,50128,4.9417677,0.002569914,4125000,0.020480003,2.9171200281592338,165,41250,0.10389519,-0.0008480257,-0.0018058412
128.39,157.2170491218567,0.9789465498179197,54189,4.9374213,0.0030714078,4150000,0.027108002,3.122441438051865,166,41500,0.10319469,-0.0010696473,-0.0020944648
104.78,158.11056470870972,0.974391657859087,50874,4.9369574,0.003355837,4175000,0.032556,2.378142610410259,167,41750,0.117280304,-0.0028459902,-0.002154167
