policy_entropy,value_loss,policy_loss,total_timesteps,ep_len_mean,approxkl,n_updates,true_reward,ep_reward_mean,time_elapsed,fps,explained_variance,serial_timesteps,clipfrac
4.6482124,0.010855337,-0.001599462,4325000,197.09,0.003191886,173,0.033893112,6.48697569958782,144.4162085056305,71022,0.9592192731797695,43250,0.027987998
4.6465983,0.015873048,-0.002069497,4350000,179.64,0.0036865242,174,0.033757012,5.872341928554015,145.1871509552002,66180,0.9457827657461166,43500,0.038503997
4.6457973,0.021974009,-0.0019182942,4375000,173.85,0.0045187213,175,0.03370456,5.571524133215061,145.99219584465027,67447,0.9245031103491783,43750,0.046908
4.6411676,0.0142125515,-0.0015138322,4400000,193.57,0.0031486724,176,0.033609476,6.331172165403132,146.79483461380005,70948,0.947687741369009,44000,0.031104002
4.6333075,0.018707708,-0.0015861517,4425000,184.64,0.0033762425,177,0.0335965,6.000175273882341,147.56853604316711,68280,0.9235299751162529,44250,0.032696
4.6280675,0.015331345,-0.0020386958,4450000,188.25,0.0034199632,178,0.033921376,6.175641114951577,148.35288739204407,67252,0.9374270737171173,44500,0.032556
4.6249313,0.022932049,-0.002151837,4475000,173.49,0.0034596305,179,0.033926584,5.677991285530734,149.1284852027893,68947,0.914848119020462,44750,0.034492
4.6217713,0.02217034,-0.0015948095,4500000,172.81,0.004459341,180,0.03408935,5.607011694817338,149.89487528800964,69952,0.9131009429693222,45000,0.049468
4.622142,0.014745114,-0.0019391843,4525000,193.61,0.0044602393,181,0.03352827,6.330475070732645,150.67214822769165,71668,0.9352935925126076,45250,0.049164
4.6203375,0.014205748,-0.0014126098,4550000,188.85,0.004687138,182,0.033836093,6.210963350569363,151.44777011871338,68894,0.947153028100729,45500,0.053524
4.6166515,0.0150871705,-0.0012003072,4575000,184.53,0.004558585,183,0.034117565,6.110374003704638,152.21935629844666,61800,0.9418349713087082,45750,0.04816
4.610537,0.017935028,-0.0014316277,4600000,169.1,0.0041454416,184,0.034204766,5.623480354237836,153.02525305747986,53499,0.9406787194311619,46000,0.042287998
4.605272,0.014533485,-0.0017598986,4625000,179.69,0.004109212,185,0.03398616,5.893516052365303,153.91812109947205,67816,0.9455033130943775,46250,0.045975994
4.5977845,0.014552617,-0.0023815308,4650000,172.01,0.005624243,186,0.033401918,5.443469071543077,154.6914734840393,67865,0.9495303146541119,46500,0.067604
4.5929728,0.023973878,-0.0013033214,4675000,163.55,0.0035018965,187,0.03373555,5.277537410449003,155.46643209457397,70010,0.9279092699289322,46750,0.035288
4.5924926,0.019675003,-0.0016632087,4700000,180.54,0.0030325637,188,0.0345764,6.127764667800766,156.29470920562744,71274,0.9366789683699608,47000,0.02352
4.5897164,0.017244142,-0.0028138426,4725000,190.37,0.0047939355,189,0.033594526,6.168699460393546,157.05231928825378,65461,0.9381497241556644,47250,0.057008006
4.5853596,0.0115292305,-0.0017644421,4750000,195.83,0.0037285388,190,0.033528,6.39034622879276,157.83980536460876,68373,0.9566880390048027,47500,0.035156
4.5792356,0.012251598,-0.0019285984,4775000,211.73,0.0032720957,191,0.032989316,6.833889023835654,158.64266872406006,64586,0.9455756396055222,47750,0.02976
4.572897,0.017414892,-0.002066613,4800000,206.82,0.0038400851,192,0.033001542,6.656367999681825,159.45610880851746,65648,0.9271349459886551,48000,0.04028
4.5709243,0.019930016,-0.0017750111,4825000,191.28,0.003770512,193,0.032299742,6.010795043112303,160.28531002998352,57996,0.9256944358348846,48250,0.039796002
4.572921,0.005966024,-0.002040868,4850000,214.23,0.0038360443,194,0.033373382,6.954492497967731,161.14239954948425,68219,0.9722394794225693,48500,0.039492004
4.575003,0.018418305,-0.0025628046,4875000,202.29,0.0045752763,195,0.03352758,6.572601621377981,161.95787358283997,49655,0.9384291805326939,48750,0.052183997
4.578061,0.016437069,-0.0015320823,4900000,192.94,0.003166449,196,0.033112913,6.128542003422044,162.90678429603577,67460,0.9374780654907227,49000,0.027579999
4.577737,0.00853355,-0.001444505,4925000,205.64,0.00543047,197,0.033496488,6.678662753146491,163.68379616737366,67426,0.9704151879996061,49250,0.06534799
4.57521,0.01555419,-0.0018655814,4950000,195.59,0.0034910035,198,0.032782573,6.196615773218873,164.45620012283325,69199,0.9432959705591202,49500,0.032535996
4.5723104,0.01431219,-0.0012520975,4975000,200.18,0.0043884376,199,0.033251435,6.389695513064289,165.23900747299194,69244,0.9468712583184242,49750,0.047784
4.5706053,0.01403559,-0.0014804933,5000000,215.96,0.003257636,200,0.032633003,6.920369631475041,166.02808928489685,66612,0.9341118261218071,50000,0.028288001
4.5682726,0.0138886105,-0.0021789265,5025000,211.39,0.0036399,201,0.03278438,6.775426497836306,166.8104190826416,69753,0.9363690167665482,50250,0.035868
4.5660834,0.028964927,-0.0023314948,5050000,209.18,0.0038808691,202,0.032944325,6.8130590357124765,167.56810569763184,65425,0.8802615329623222,50500,0.039108
4.5631967,0.016596835,-0.0019372959,5075000,206.35,0.0036548257,203,0.03300272,6.627159545290306,168.35069465637207,71194,0.9190610200166702,50750,0.035307996
4.556901,0.009485094,-0.001151734,5100000,216.92,0.004682471,204,0.03309947,7.029811858786161,169.09582233428955,70402,0.9546511135995388,51000,0.056072004
4.550022,0.012142815,-0.001637216,5125000,212.07,0.004022971,205,0.03353803,6.886185089232168,169.8450288772583,70527,0.945730846375227,51250,0.042895995
4.5448008,0.011279545,-0.0018071368,5150000,223.39,0.0044712005,206,0.032872614,7.235758172987553,170.62399220466614,71191,0.9363024681806564,51500,0.049564004
4.541388,0.025954207,-0.0016544049,5175000,213.64,0.0047889994,207,0.03361056,7.076960076631512,171.39708161354065,69164,0.8612639755010605,51750,0.056936003
4.541004,0.017095953,-0.0018400133,5200000,208.52,0.0051690964,208,0.033541944,6.840626779318045,172.18160915374756,68026,0.9173261970281601,52000,0.059815995
4.5441732,0.0046468936,-0.0022923995,5225000,227.52,0.0037148483,209,0.03317796,7.428175026212248,172.9552183151245,71666,0.9741497952491045,52250,0.037324
4.543995,0.0066527696,-0.0019571665,5250000,240.23,0.0031680155,210,0.032941427,7.8829092846949065,173.72605109214783,64679,0.9611074924468994,52500,0.027768001
4.536283,0.01796947,-0.0016864926,5275000,212.35,0.0030407018,211,0.032374613,6.72553342622261,174.56168913841248,65370,0.9138151109218597,52750,0.024652
4.5286503,0.010357618,-0.0019988148,5300000,218.7,0.0037886915,212,0.03318784,7.209004164460858,175.34869694709778,71305,0.9551843777298927,53000,0.038932003
4.52047,0.0128196,-0.0017906079,5325000,210.14,0.0035024148,213,0.032946356,6.795658863195895,176.09910345077515,67864,0.9408215843141079,53250,0.03566
4.514431,0.020759553,-0.0014302421,5350000,212.22,0.0033976804,214,0.032758873,6.859239291049817,176.89618349075317,69398,0.9081417322158813,53500,0.032204002
4.509306,0.012942297,-0.0010999347,5375000,224.55,0.0026385514,215,0.032550007,7.219414330775617,177.66171431541443,68392,0.932581789791584,53750,0.019512
4.508053,0.01128155,-0.0018616881,5400000,228.16,0.0031783213,216,0.03244944,7.340369494284387,178.45491790771484,64955,0.9328286126255989,54000,0.030412
4.5039587,0.01642484,-0.001963947,5425000,222.45,0.0033918743,217,0.032135256,7.106505390112816,179.28538131713867,68580,0.9016741067171097,54250,0.030488
4.4991093,0.02070935,-0.0015152268,5450000,230.2,0.00356139,218,0.03270667,7.616281243012636,180.05753183364868,66560,0.8874954506754875,54500,0.035435997
4.4949203,0.009505487,-0.0022288766,5475000,230.69,0.004183489,219,0.03154842,7.235948638872287,180.85014939308167,70319,0.9439457543194294,54750,0.04378
4.4899774,0.0058702687,-0.0016691029,5500000,237.16,0.0026266368,220,0.032172978,7.589004766572034,181.60004878044128,68383,0.9542614035308361,55000,0.0205
4.4825134,0.009115818,-0.0018325141,5525000,231.64,0.004008635,221,0.031964887,7.355590372621837,182.3686957359314,71063,0.9356407597661018,55250,0.042935997
4.4758906,0.013031667,-0.0017072316,5550000,238.59,0.003356709,222,0.032051746,7.625184186534025,183.12141394615173,71056,0.9217857271432877,55500,0.030651998
4.47197,0.013306409,-0.0019992304,5575000,227.33,0.0039855666,223,0.032359015,7.279791641284174,183.8821485042572,71195,0.9111757799983025,55750,0.039796002
4.468953,0.015923418,-0.001966375,5600000,221.08,0.0053035496,224,0.03293624,7.166132396694393,184.72169160842896,68139,0.9055516794323921,56000,0.060524005
4.4681783,0.016768936,-0.0017023785,5625000,226.98,0.0037797014,225,0.03163303,7.128914767504102,185.49812197685242,66864,0.8879918530583382,56250,0.040280003
