policy_loss,serial_timesteps,ep_reward_mean,explained_variance,true_reward,approxkl,n_updates,fps,policy_entropy,time_elapsed,ep_len_mean,clipfrac,value_loss,total_timesteps
-0.0018921548,27250,5.770038469198051,0.9192341268062592,0.022221286,0.0033687956,109,52691,5.5107946,100.2600166797638,241.08,0.034479998,0.06909136,2725000
-0.0015275655,27500,5.550116210448113,0.8273918628692627,0.020477714,0.002585644,110,51626,5.512034,101.19721055030823,228.49,0.021744,0.17248783,2750000
-0.0016140133,27750,5.7316365451966105,0.9254186525940895,0.02175409,0.0029902663,111,54282,5.5120564,102.06279706954956,233.12,0.029912,0.09183375,2775000
-0.0015104096,28000,5.578785357705637,0.6882435083389282,0.019664204,0.0035932702,112,55693,5.5111537,102.88393568992615,212.4,0.04034,0.40843123,2800000
-0.0014197315,28250,5.563004259447152,0.8191976547241211,0.018739233,0.0046403706,113,56035,5.51224,103.70256543159485,207.94,0.0555,0.34040067,2825000
-0.00090047036,28500,5.753680729800817,0.8487872183322906,0.020813366,0.0020135674,114,54023,5.512117,104.51969456672668,219.7,0.014948,0.21875007,2850000
-0.0016314834,28750,6.282006745344778,0.9515510946512222,0.023340689,0.0026260854,115,53743,5.509259,105.35328888893127,231.55,0.024912,0.08514176,2875000
-0.0018079535,29000,6.055284942480719,0.9566180296242237,0.023058582,0.0031701685,116,45296,5.5071597,106.17862963676453,228.97,0.028859999,0.06999783,2900000
-0.0020240431,29250,6.472552284341414,0.922810360789299,0.025050923,0.0038817762,117,55848,5.504181,107.0937008857727,244.68,0.042096,0.08132504,2925000
-0.0014484341,29500,6.629399190518443,0.9595435298979282,0.025816342,0.004890377,118,56215,5.500536,107.91497254371643,242.75,0.057695996,0.053030647,2950000
-0.0021452408,29750,5.547490468722117,0.7894356846809387,0.020316614,0.004283461,119,55264,5.498825,108.71430325508118,219.08,0.050212003,0.36010894,2975000
-0.0024373564,30000,5.6918375204841025,0.9124141782522202,0.021408986,0.004854244,120,54702,5.499826,109.52424335479736,229.94,0.058427997,0.15231183,3000000
-0.001515496,30250,5.7719279252799245,0.8880471363663673,0.022477329,0.0056010317,121,46894,5.4992642,110.35191893577576,238.2,0.064679995,0.13383143,3025000
-0.0010294855,30500,5.871028050988948,0.8895668312907219,0.022505647,0.004222363,122,56486,5.4973907,111.25844359397888,234.33,0.049912002,0.14325996,3050000
