n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
1023,31.56,2.7824187,944.5903759002686,25575000,0.067756,255750,0.6565451788779183,-1.882817,-0.0041944287,2.478792,47134,0.9443198144435883,0.005724439
1024,34.15,2.7407823,945.5091443061829,25600000,0.049992,256000,0.8462535949404991,-2.0431077,-0.003414255,2.4731634,53239,0.9491415917873383,0.004542931
1025,36.32,3.6130023,946.369535446167,25625000,0.036596,256250,0.6247139944552328,-1.7794428,-0.0029899233,2.464271,47224,0.9325459524989128,0.0034357668
1026,32.96,3.614128,947.2807059288025,25650000,0.060508,256500,0.696763882806249,-2.0254824,-0.0029956202,2.4568462,53309,0.9358564764261246,0.0050215796
1027,36.18,3.2664235,948.1397755146027,25675000,0.08074,256750,0.6733501664678915,-1.9365164,-0.0010145654,2.4527552,54197,0.9391336888074875,0.0067786663
1028,34.78,2.7547784,948.9955546855927,25700000,0.087616004,257000,0.7793278009294636,-2.0288293,-0.0026223918,2.4491184,53609,0.9506052322685719,0.007304214
1029,29.43,3.1005747,949.8667335510254,25725000,0.044007994,257250,0.26695826837141795,-1.9434339,-0.0030732509,2.4420981,33029,0.9412439875304699,0.0040164166
1030,31.0,2.6438751,950.9993023872375,25750000,0.067056,257500,0.4448625897441616,-1.9823614,-0.00237817,2.4347565,53649,0.9497606456279755,0.005694912
1031,29.27,3.0219953,951.8442442417145,25775000,0.047948003,257750,0.7289751857918486,-2.0225587,-0.0033920049,2.4336486,52468,0.9398415312170982,0.0043154503
1032,28.62,3.2481434,952.704906463623,25800000,0.042875998,258000,0.2551030767057455,-2.0560563,-0.0024090896,2.432238,48848,0.930784560739994,0.003962724
1033,34.41,3.3588989,953.6088469028473,25825000,0.042256,258250,0.7710598667917202,-1.9383428,-0.0027053957,2.4334884,39380,0.9371006190776825,0.003922547
1034,31.7,3.2517476,954.6226575374603,25850000,0.051684003,258500,0.5521694404036726,-1.9889866,-0.0028947324,2.4343805,53125,0.9393334165215492,0.0045586075
1035,30.93,3.7549443,955.4796121120453,25875000,0.053419996,258750,0.7532069499926002,-1.9336058,-0.0034831925,2.4329906,53603,0.9271319210529327,0.004752009
1036,31.69,3.4457378,956.3226840496063,25900000,0.0509,259000,0.7737348594949072,-1.8939936,-0.0024141124,2.4312618,53632,0.9372006729245186,0.0045531057
1037,31.57,3.101945,957.1725463867188,25925000,0.052911997,259250,0.7551416364468332,-1.8987937,-0.0039343075,2.4278731,54571,0.9395370595157146,0.004712493
1038,32.77,3.3112843,958.0196852684021,25950000,0.053592004,259500,0.6319854295029154,-1.9590836,-0.0029267976,2.4208214,53094,0.9353713393211365,0.0047118766
1039,31.4,3.204892,958.8962697982788,25975000,0.062076002,259750,0.8307916802508635,-1.950438,-0.0036395218,2.4162586,51809,0.9403792843222618,0.005368168
1040,30.65,3.763184,959.7887890338898,26000000,0.050564,260000,0.4774079657312859,-1.9149041,-0.0029549627,2.414804,53044,0.9285809993743896,0.00443169
1041,25.87,3.3717327,960.6471629142761,26025000,0.05738,260250,0.614603191305414,-1.9981867,-0.0030062883,2.416211,52727,0.9310238137841225,0.0049998183
1042,35.02,3.6059787,961.5163836479187,26050000,0.052972,260500,0.8138068342885708,-2.0027256,-0.0028774336,2.4167273,52587,0.9354096204042435,0.0045975656
1043,32.58,3.0532627,962.3784122467041,26075000,0.04392,260750,0.7049786087738766,-1.9860125,-0.003210953,2.414156,43686,0.9446281120181084,0.0040025758
1044,28.44,4.252504,963.3238790035248,26100000,0.03346,261000,0.5260579567782088,-1.9735472,-0.002887048,2.40818,54880,0.9111205115914345,0.0033013541
