clipfrac,policy_loss,explained_variance,ep_reward_mean,true_reward,n_updates,fps,time_elapsed,policy_entropy,value_loss,serial_timesteps,ep_len_mean,total_timesteps,approxkl
0.03548,-0.0010905078,0.8543002754449844,15.464197910570137,0.061280698,134,49248,120.33125948905945,1.3257375,2.021498,33500,238.3,3350000,0.0036108405
0.059447996,-0.0011281439,0.8794494420289993,15.92450359390515,0.061940003,135,53728,121.20455193519592,1.323147,2.071414,33750,237.16,3375000,0.005130963
0.036564004,-0.0016335372,0.8581576198339462,15.809887095362264,0.061040074,136,55894,122.02999305725098,1.319124,1.9757004,34000,241.54,3400000,0.0035059496
0.047808,-0.0016236982,0.8945395573973656,13.741540977100986,0.052535456,137,49885,122.84310698509216,1.3147262,1.4764614,34250,239.63,3425000,0.0044465857
0.054104,-0.0017182598,0.8691191077232361,15.544468382964915,0.060032643,138,54578,123.70526480674744,1.3120623,1.9056724,34500,241.6,3450000,0.004889161
0.068564,-0.0010888086,0.8456907272338867,15.892940978453543,0.062916756,139,54843,124.51514625549316,1.3070557,1.7621915,34750,247.7,3475000,0.005687059
0.0477,-0.0010197014,0.8465882390737534,18.55378667004681,0.07368898,140,53018,125.35004019737244,1.303637,2.2298234,35000,247.63,3500000,0.004446105
0.044252,-0.0013916178,0.8673627525568008,16.929454136397872,0.06652669,141,52442,126.17164158821106,1.3010815,1.9326389,35250,247.66,3525000,0.004101567
0.032587998,-0.001564075,0.867952436208725,16.75079041695528,0.06700316,142,45447,126.9940197467804,1.2991619,1.7242874,35500,250.0,3550000,0.003286862
0.044687998,-0.0023835246,0.8496014773845673,16.766118558246216,0.06482722,143,53259,127.90716409683228,1.2934628,2.271037,35750,237.95,3575000,0.004000466
0.041408,-0.0015833353,0.84223572909832,14.888222074543664,0.057315726,144,55665,128.73452997207642,1.2869399,1.8486646,36000,241.76,3600000,0.0040391134
0.085288,-0.0018610926,0.8657685071229935,14.105188497878071,0.055186093,145,53922,129.527574300766,1.2790573,1.5963575,36250,245.84,3625000,0.0066301003
0.052043997,-0.0004504895,0.8756321594119072,15.764993548790098,0.062383104,146,44332,130.36517548561096,1.2746366,1.5916455,36500,248.94,3650000,0.0047452166
0.063475996,-0.00033423875,0.8873031213879585,16.706757712039327,0.06450837,147,42849,131.28352689743042,1.2707614,1.7001835,36750,243.63,3675000,0.005370748
0.033724003,-0.0014691567,0.8853297978639603,16.46420976831705,0.06345035,148,55211,132.23085021972656,1.2672006,1.8970311,37000,238.17,3700000,0.0035653159
0.060724,-0.0007792455,0.8741149455308914,17.46061104010305,0.0682322,149,54524,133.02418065071106,1.2630972,2.1423326,37250,240.44,3725000,0.0051377085
0.0381,-0.001552988,0.873924732208252,18.380570718339623,0.072746076,150,51363,133.83077788352966,1.2579395,1.9737113,37500,249.64,3750000,0.003782135
0.084804006,-0.00015741953,0.8776404485106468,16.301413024713828,0.06253757,151,53563,134.67527770996094,1.2522889,2.0865388,37750,239.21,3775000,0.0065282397
0.044267997,-0.0011472739,0.8553933203220367,17.63364032576197,0.07020092,152,28336,135.4957559108734,1.249727,2.024252,38000,247.64,3800000,0.004179241
0.046068,-0.0023092213,0.8881789445877075,16.734611783053843,0.06497996,153,51909,136.7348780632019,1.2469877,1.849975,38250,245.24,3825000,0.0042859083
0.079992004,-0.00061446143,0.8736935704946518,15.981809290311922,0.060737543,154,49852,137.5744903087616,1.2418325,1.9447129,38500,241.0,3850000,0.0063318284
0.046579998,-0.0024094686,0.8846931681036949,16.137588031239062,0.062673576,155,54638,138.42679929733276,1.2376169,1.7371159,38750,243.64,3875000,0.0044657453
0.142084,0.0018265815,0.8597997725009918,16.081227896318374,0.06353364,156,53565,139.2368721961975,1.2377238,1.9333509,39000,244.86,3900000,0.010622215
0.04604,-0.0015638436,0.8667171895503998,15.614367783265916,0.059328146,157,54340,140.05363845825195,1.2353488,1.9701446,39250,242.15,3925000,0.0043286528
0.055931997,-0.0014074999,0.8597129136323929,17.152088054248015,0.06635577,158,49911,140.88467502593994,1.2347597,2.0053039,39500,243.33,3950000,0.0049336664
