total_timesteps,clipfrac,policy_entropy,policy_loss,n_updates,fps,true_reward,value_loss,approxkl,explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed
21425000,0.088192,1.2419105,0.00017915592,857,53340,0.03900623,0.01671938,0.0068376535,0.9683899283409119,214250,9.751556981035028,250.0,706.2379288673401
21450000,0.126084,1.2407845,-0.00041753013,858,49452,0.041714706,0.033082433,0.009576466,0.9513805657625198,214500,10.447410100122797,247.5,707.0305426120758
21475000,0.059403997,1.2384509,-0.0019494187,859,53920,0.03857296,0.016866658,0.0052143773,0.9682975597679615,214750,9.643240359928823,250.0,707.8696463108063
21500000,0.037296,1.2323983,-0.0017855571,860,55331,0.039463304,0.016927537,0.003984808,0.9692727215588093,215000,9.86582588982652,250.0,708.6661369800568
21525000,0.09412001,1.2236168,-0.0014242792,861,54115,0.036630746,0.07665863,0.0072560324,0.876464419066906,215250,9.165437689135434,246.07,709.4473776817322
21550000,0.06559999,1.220149,-0.0012220822,862,54802,0.038706012,0.017909845,0.0054597575,0.9665723033249378,215500,9.676502105976688,250.0,710.2412915229797
21575000,0.05512,1.2193524,-0.0014295109,863,55559,0.039055645,0.018218476,0.004963556,0.9675210043787956,215750,9.763911092959042,250.0,711.0254905223846
21600000,0.08480801,1.2147825,-0.0014352972,864,54383,0.038375616,0.038629066,0.0066770664,0.9371377006173134,216000,9.613905488998206,247.52,711.8082075119019
21625000,0.104435995,1.2101187,-0.0011923597,865,45364,0.039415512,0.05757176,0.008058043,0.9128985702991486,216250,9.92662702593545,247.01,712.6013963222504
21650000,0.06466,1.2066793,-0.0011626979,866,47822,0.039621495,0.12839727,0.005303691,0.8442848920822144,216500,9.901770303500417,242.43,713.4835867881775
21675000,0.068344,1.2072519,-0.0013287179,867,53633,0.039264686,0.063276246,0.00573411,0.9131054654717445,216750,9.9284584542019,245.15,714.3308045864105
21700000,0.061355997,1.2093226,-0.0009507494,868,52570,0.038208105,0.017003343,0.0051679937,0.9689092244952917,217000,9.552025706775584,250.0,715.1320331096649
21725000,0.06166,1.2065576,-0.00075928785,869,55205,0.04096804,0.021572713,0.0050916914,0.9655880555510521,217250,10.242009400708193,250.0,715.961332321167
21750000,0.07916,1.2016191,-0.00089630333,870,36897,0.03869489,0.11204759,0.006353171,0.8420605212450027,217500,9.668188536612252,242.06,716.7472190856934
21775000,0.039232,1.1981413,-0.0014964852,871,54900,0.038732983,0.015597272,0.0039402917,0.9759808853268623,217750,9.68324555282742,250.0,717.7507059574127
21800000,0.075872,1.1939924,-0.00086251425,872,56045,0.03717366,0.115574315,0.0061465376,0.8565574437379837,218000,9.316592398318535,241.24,718.5393323898315
