n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
92,45673,8.328931161042929,2300000,0.041201405,-2.4972303,206.26,0.29006803,81.21926093101501,0.026094606,0.984942433424294,0.012624726,23000,0.008601934
93,55777,8.722449814990082,2325000,0.04231381,-2.4963892,206.57,0.265784,82.11193609237671,0.02264345,0.993686833884567,0.0050254897,23250,0.008373956
94,55227,7.999433838144987,2350000,0.041458245,-2.494326,198.87,0.18471201,82.90109872817993,0.01393227,0.9817395899444818,0.014521251,23500,0.0011770849
95,53214,9.40352164378512,2375000,0.04356287,-2.4937859,215.01,0.14484,83.72727155685425,0.011683406,0.9893184872344136,0.008982937,23750,-0.00012721594
96,53372,9.232380198637475,2400000,0.044168275,-2.4963386,207.8,0.258372,84.54925274848938,0.021711133,0.9821797925978899,0.0155665325,24000,0.0054563005
97,53877,9.106869465347845,2425000,0.04291809,-2.5011165,216.92,0.143944,85.38079118728638,0.011055851,0.9913722649216652,0.0070995055,24250,0.0012282105
98,55122,9.404336969226934,2450000,0.04300667,-2.5064957,219.91,0.36402398,86.22518134117126,0.03853901,0.9917464787140489,0.0061151767,24500,0.014098667
99,53983,9.093923609295597,2475000,0.04382,-2.5097418,211.56,0.146308,87.03605031967163,0.011490594,0.991650109179318,0.0056295395,24750,0.000704482
100,55150,8.853539650204402,2500000,0.043591227,-2.5114627,204.69,0.20584801,87.86761164665222,0.015957184,0.9679131209850311,0.02391569,25000,-0.00047610368
101,55054,8.23752182173179,2525000,0.041377213,-2.5141501,199.44,0.177484,88.68826818466187,0.012774443,0.9869671342894435,0.011345977,25250,0.00043127136
102,54027,9.11130157889359,2550000,0.042829596,-2.5171237,215.94,0.16980001,89.50883841514587,0.012248087,0.9799602963030338,0.013878519,25500,-0.0002553055
103,54151,8.566323107645731,2575000,0.041587003,-2.517835,207.4,0.27484402,90.34789943695068,0.022820776,0.9904751237481833,0.008685228,25750,0.007233561
