serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
24750,13.912205032918756,85.43772029876709,0.0032799025,0.5088780224323273,0.031512003,214.01,60036,99,0.06429125,0.22426972,5.096343,-0.0022981344,2475000
25000,13.585537692514917,86.27779459953308,0.0039561847,0.5743353962898254,0.041996002,207.89,56374,100,0.0657155,0.19298378,5.087126,-0.0031519062,2500000
25250,15.334784834661987,87.25524067878723,0.003706384,0.5417216718196869,0.037048,234.57,56319,101,0.065517776,0.1658921,5.0813336,-0.0018077616,2525000
25500,15.481248283718415,88.26881790161133,0.0035210855,0.5746602714061737,0.032896,231.36,59740,102,0.06700165,0.17886071,5.0768633,-0.002151908,2550000
25750,15.922614085433871,89.25572371482849,0.0037195454,0.5863443911075592,0.040588003,225.83,51450,103,0.069952264,0.18950856,5.0699415,-0.0012428497,2575000
26000,15.57596912333259,90.22330522537231,0.0030086616,0.6248896718025208,0.025144,218.32,65669,104,0.071637884,0.20694208,5.0645146,-0.0014693771,2600000
26250,15.840526913585846,91.02098608016968,0.0027578261,0.6321091651916504,0.023244,217.05,70338,105,0.07255429,0.2170072,5.0584497,-0.0018463839,2625000
26500,15.28736505895351,91.76045417785645,0.0026924955,0.6354422569274902,0.022324,214.32,68569,106,0.071169324,0.21159272,5.0534368,-0.0020284648,2650000
26750,15.131618433416588,92.4912462234497,0.0028516294,0.4721006751060486,0.027307998,208.22,57560,107,0.072166495,0.3429525,5.0496078,-0.0023266883,2675000
27000,13.561390079108095,93.42358040809631,0.0029705628,0.528759777545929,0.026304001,184.6,61416,108,0.07231992,0.35587594,5.0438128,-0.0018814722,2700000
27250,13.544331553740012,94.24180889129639,0.003942762,0.5163788795471191,0.041072,184.19,67787,109,0.07399942,0.35473508,5.039212,-0.002514217,2725000
27500,14.841013582627602,95.03695487976074,0.0036716424,0.5722929239273071,0.035072003,195.17,66188,110,0.07644055,0.3313304,5.0366535,-0.00218651,2750000
27750,12.049767821116257,95.81019425392151,0.003461433,0.5235404074192047,0.033568002,167.74,67826,111,0.07407271,0.4637676,5.032442,-0.0020669182,2775000
28000,14.400214703923702,96.58637118339539,0.0037428164,0.5104092657566071,0.03738,186.44,68080,112,0.07719114,0.3990452,5.0231605,-0.0026481308,2800000
28250,15.910223157789806,97.67275357246399,0.003921549,0.5399007201194763,0.041396,207.57,43767,113,0.077380285,0.31287327,5.013033,-0.0025369744,2825000
28500,14.81315859011319,98.6785671710968,0.0033443812,0.5926886200904846,0.032808,205.24,49431,114,0.07347214,0.28328753,5.0060296,-0.0030524584,2850000
28750,15.874938004277356,99.6821563243866,0.0035813465,0.4940100312232971,0.036488,214.37,3,115,0.07359948,0.34011537,4.9970646,-0.002471003,2875000
29000,16.63103211133573,7301.365653991699,0.003606846,0.5599397122859955,0.038431995,219.56,51257,116,0.075369634,0.27480078,4.987084,-0.0014481564,2900000
29250,16.5653415973298,7302.320018529892,0.004572055,0.6163488328456879,0.054392003,220.63,62622,117,0.075415455,0.2473462,4.981701,-0.0025096752,2925000
29500,16.66583507030222,7303.134672164917,0.0043724724,0.658407986164093,0.047712,220.34,55625,118,0.07621381,0.23130353,4.9745846,-0.0019475862,2950000
29750,16.966256679981417,7304.074676036835,0.0041052788,0.5932417511940002,0.045892,217.7,55429,119,0.07821871,0.2980934,4.966935,-0.0027767392,2975000
30000,16.915685027142917,7305.041062116623,0.0054189744,0.6017956137657166,0.068516,220.58,61165,120,0.07668047,0.25475162,4.9608526,-0.0017111445,3000000
30250,17.50101061681911,7305.889617204666,0.0036667618,0.6242350935935974,0.037768,227.59,67323,121,0.07715525,0.23981676,4.958111,-0.0018342923,3025000
30500,15.579308531939605,7306.670199871063,0.003693752,0.6207629144191742,0.037844002,202.57,70933,122,0.0775804,0.32098502,4.9537306,-0.0026223864,3050000
