n_updates,time_elapsed,value_loss,policy_entropy,total_timesteps,policy_loss,approxkl,explained_variance,serial_timesteps,fps,clipfrac,ep_reward_mean,ep_len_mean,true_reward
435,369.49723505973816,0.14849971,4.1081657,10875000,-0.0013912264,0.0039067464,0.9749885778874159,108750,54756,0.043984003,9.029044052054687,174.03,0.040165223
436,370.2970230579376,0.14383581,4.105585,10900000,-0.0025976063,0.0035578446,0.9760121162980795,109000,54397,0.035752,8.907397528716974,171.52,0.03938687
437,371.08445167541504,0.15287593,4.1015964,10925000,-0.0014514142,0.0042335982,0.9710538666695356,109250,53990,0.043332,9.405015060662535,184.56,0.040033914
438,371.88040590286255,0.09814793,4.0975304,10950000,-0.0024487847,0.003351415,0.9815213866531849,109500,54884,0.032763995,10.268321666948886,192.22,0.044727486
439,372.6808898448944,0.12956208,4.0904922,10975000,-0.0017267077,0.0029246311,0.9746375810354948,109750,40218,0.026163999,8.758890469957986,168.98,0.038790137
440,373.62805104255676,0.21291491,4.0864153,11000000,-0.0017379302,0.0024628968,0.9639424718916416,110000,55992,0.023092,9.56743085873507,186.9,0.039994847
441,374.42562437057495,0.15507482,4.0841994,11025000,-0.0017449867,0.0038022883,0.9702901039272547,110250,50138,0.042659998,9.492510584601671,179.13,0.040489268
442,375.2619755268097,0.15969948,4.083003,11050000,-0.0018418243,0.003363446,0.9724349454045296,110500,55879,0.035696,8.669387508102592,168.16,0.039226662
443,376.0495824813843,0.14231688,4.080995,11075000,-0.0009935842,0.0034784202,0.9775422737002373,110750,49639,0.034712,8.201543812068048,169.63,0.037035115
444,376.8899323940277,0.14185861,4.0821013,11100000,-0.0019753908,0.0033858765,0.9776758309453726,111000,43698,0.032808,9.847378795084133,190.5,0.041318063
445,377.796071767807,0.122792184,4.083616,11125000,-0.0017589187,0.0039796913,0.9785260763019323,111250,56002,0.040992003,9.740519435860188,186.38,0.041350853
446,378.5956039428711,0.15827224,4.0839667,11150000,-0.0017816428,0.0027655554,0.9662251323461533,111500,54393,0.02352,9.43683197910701,183.64,0.04196874
447,379.39617919921875,0.13476183,4.0858865,11175000,-0.0026108578,0.00295751,0.973507272079587,111750,55040,0.028524,9.719598542463391,182.07,0.042880982
448,380.1953835487366,0.16238502,4.0889854,11200000,-0.0019224174,0.0026152423,0.9729099869728088,112000,56622,0.023691999,9.013763418816925,175.51,0.039837986
449,380.9768328666687,0.13544446,4.091544,11225000,-0.0016653171,0.0028336055,0.9708889201283455,112250,44616,0.025612,9.846163705150259,184.31,0.041749522
450,381.8634569644928,0.13292369,4.0928407,11250000,-0.001934094,0.0037195422,0.974803114309907,112500,38059,0.038516,9.794309743824924,190.26,0.042475853
451,382.8446295261383,0.2184951,4.09413,11275000,-0.0020427636,0.00452307,0.9618354365229607,112750,55874,0.051556002,9.668577365318159,179.99,0.041121908
452,383.62244868278503,0.15821913,4.092826,11300000,-0.0014740514,0.0030300445,0.9747063275426626,113000,55673,0.028380001,10.183067946147148,198.47,0.043852694
453,384.40089225769043,0.19779836,4.091574,11325000,-0.002477687,0.0034004054,0.9688622243702412,113250,51220,0.032752,9.326951109526782,179.75,0.040506363
454,385.24045634269714,0.22342873,4.090357,11350000,-0.0021343713,0.003258987,0.9616259410977364,113500,51423,0.032804,9.29871963897096,178.75,0.039838728
455,386.0636270046234,0.33762312,4.0874696,11375000,-0.0020477674,0.0044892146,0.9350859746336937,113750,52563,0.051276,9.71530719023891,181.64,0.039953675
456,386.8875606060028,0.18722865,4.085067,11400000,-0.0026822824,0.004401726,0.9599420875310898,114000,54272,0.051096,9.616464950491237,190.62,0.041025545
457,387.683048248291,0.18784723,4.081538,11425000,-0.0026908168,0.004662332,0.9647046104073524,114250,53029,0.054964,9.811964068989518,186.24,0.04193678
458,388.4880223274231,0.1520584,4.0813756,11450000,-0.0023757978,0.0045431843,0.9708427730947733,114500,56332,0.053763997,9.606934418482384,175.86,0.04222335
459,389.27768874168396,0.1809003,4.080822,11475000,-0.0016526429,0.0027704232,0.9670949690043926,114750,54822,0.026011998,8.987598946790467,179.72,0.038652185
460,390.0787355899811,0.1562106,4.074065,11500000,-0.0016874153,0.0032890975,0.9666818976402283,115000,48096,0.032275997,8.794202456819676,168.36,0.03915836
461,390.92558455467224,0.16542043,4.0687504,11525000,-0.0027061885,0.0042417897,0.9637318029999733,115250,54336,0.048111998,9.003203297116416,173.57,0.041042782
462,391.72145318984985,0.16335498,4.0655584,11550000,-0.0023074604,0.004215805,0.9658059850335121,115500,41570,0.046239994,9.0559032686695,179.26,0.041826576
463,392.65141582489014,0.12850462,4.062951,11575000,-0.0030410388,0.003764673,0.972196763381362,115750,55384,0.040592004,9.614177197725002,187.15,0.04244584
464,393.43733501434326,0.07716172,4.0585237,11600000,-0.0016424984,0.0034174498,0.9817459490150213,116000,54013,0.033716,11.10370709019242,213.46,0.047073446
465,394.2266626358032,0.13659003,4.05923,11625000,-0.0020506035,0.004295572,0.9686672352254391,116250,49145,0.046616003,10.164870437368,200.15,0.044276245
466,395.0647473335266,0.19384871,4.062886,11650000,-0.0011227785,0.0032399339,0.9620699398219585,116500,54136,0.034968,9.315568653379014,179.75,0.041789092
467,395.858784198761,0.12533438,4.064595,11675000,-0.0016133583,0.0024273912,0.9742024093866348,116750,47307,0.020876002,8.649974799940082,163.4,0.04047487
468,396.7196698188782,0.21149461,4.06456,11700000,-0.0014090755,0.0028162252,0.9559391140937805,117000,55139,0.02722,8.467500602856889,159.27,0.040923685
469,397.51525688171387,0.22405462,4.0676346,11725000,-0.00075371546,0.0033438094,0.9574009776115417,117250,54052,0.030976001,8.498228690311754,158.4,0.039804842
470,398.321928024292,0.17500445,4.0658016,11750000,-0.0015355775,0.0036031478,0.9604073315858841,117500,55449,0.038492,9.323936199399505,172.97,0.041627172
471,399.1075949668884,0.22409272,4.0597787,11775000,-0.0015243662,0.003498993,0.9567507952451706,117750,54158,0.03454,9.320676652427371,172.92,0.0413434
472,399.90769815444946,0.12279868,4.056927,11800000,-0.0019899153,0.0037587497,0.978540001437068,118000,54785,0.041416004,8.474176379970904,162.98,0.039355107
473,400.69943737983704,0.10002188,4.0522,11825000,-0.0016064352,0.002736478,0.9723591934889555,118250,42104,0.022475999,10.227962719863626,200.85,0.045103192
474,401.62533593177795,0.08642195,4.0468946,11850000,-0.0022638466,0.0035925687,0.9823852516710758,118500,56212,0.036971997,10.088197859757493,199.96,0.044769317
475,402.3971824645996,0.10531695,4.0430446,11875000,-0.0019726595,0.003110129,0.9789019599556923,118750,53825,0.029196,10.483001316285154,198.79,0.046285875
476,403.19309163093567,0.07527333,4.038243,11900000,-0.0012862008,0.003291124,0.9840502068400383,119000,55057,0.030088002,11.124176607113895,210.04,0.04810871
477,404.0072250366211,0.13383247,4.033378,11925000,-0.0015862815,0.0029885247,0.9764396138489246,119250,41772,0.030356001,10.25046346046513,187.58,0.04611668
478,404.9298722743988,0.1420206,4.029232,11950000,-0.0025233293,0.0030824258,0.9730537086725235,119500,55364,0.0273,9.93823437556307,183.77,0.045555282
479,405.71743750572205,0.11075984,4.0233927,11975000,-0.0016903935,0.0026112753,0.9783258121460676,119750,54020,0.022216,8.831611754724882,161.92,0.041738115
480,406.5134930610657,0.121988915,4.0217247,12000000,-0.0013934615,0.0038228114,0.9775757994502783,120000,52346,0.042159997,8.968854089927527,165.01,0.043421183
