total_timesteps,ep_len_mean,value_loss,policy_loss,explained_variance,policy_entropy,serial_timesteps,time_elapsed,n_updates,approxkl,true_reward,fps,ep_reward_mean,clipfrac
9925000,232.88,0.63227904,-0.00020042955,0.85317662358284,-0.08048873,99250,352.1181490421295,397,0.0067333514,0.03715683,52093,9.836698881121446,0.087704
9950000,232.09,0.5960417,-0.0016694426,0.8471177369356155,-0.08225285,99500,353.05438446998596,398,0.0053731757,0.037183855,49575,9.861228355078083,0.0642
9975000,230.52,0.7323796,-0.0014518049,0.8520218133926392,-0.083509505,99750,353.95954275131226,399,0.004590462,0.03945489,51360,10.286647881227363,0.051388003
10000000,237.98,0.5549236,-0.0018076377,0.8326953500509262,-0.084979296,100000,354.7991375923157,400,0.0043092696,0.04051965,55612,10.46096588579645,0.044108
10025000,220.68,0.9155213,-0.000743586,0.8231354355812073,-0.08954294,100250,355.6096351146698,401,0.0060546496,0.032809615,58131,8.99216230847789,0.074228
10050000,232.44,0.7849681,-0.0011305889,0.8044509440660477,-0.09369483,100500,356.41240096092224,402,0.0032283594,0.036116887,57481,9.672165646285128,0.029435998
10075000,246.71,0.48042458,-0.0022431694,0.8169807940721512,-0.09578133,100750,357.201544046402,403,0.0054798527,0.04273267,55563,10.875409569379954,0.064748004
10100000,229.22,0.83166695,-0.0011494416,0.8041193336248398,-0.0997205,101000,358.0154356956482,404,0.0032195982,0.035637356,57566,9.601433251579182,0.028304001
10125000,239.81,0.6636955,7.580704e-06,0.794744074344635,-0.09685551,101250,358.8051917552948,405,0.008014669,0.03575178,56782,9.600823171862388,0.110392
10150000,219.4,1.2281675,0.0025758466,0.7470174729824066,-0.09530366,101500,359.6038682460785,406,0.012559424,0.032077033,56479,9.071330264413609,0.16679999
10175000,226.28,1.2884345,-0.001502997,0.6886474788188934,-0.09597175,101750,360.41677236557007,407,0.0063898624,0.031041883,47439,9.105537422464694,0.076984
