value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.2565179,15.487006902694702,0.5235988199710846,0.21839997,2408,14.82,0.041128304,0.9792961719632148,24000,0.01952617,24000,5.1643457,96,-0.027437776
0.13976838,15.615415334701538,0.7235532999038696,0.21559998,2370,14.82,0.080818936,0.9790855301916599,24250,0.018700585,24250,5.160029,97,-0.0143291475
0.16816008,15.745697498321533,0.6552082598209381,0.2816,2300,14.64,0.06488685,0.9442395335435867,24500,0.02309759,24500,5.1584663,98,-0.0149421515
0.21006079,15.879451036453247,0.5914038419723511,0.178,2363,14.82,0.04912637,0.9792741033434867,24750,0.011626823,24750,5.1570063,99,-0.018613268
0.17281397,16.01030135154724,0.6517270505428314,0.34960002,2367,14.64,0.06496033,0.944797320663929,25000,0.036173213,25000,5.1543093,100,-0.018410837
0.14813146,16.14054822921753,0.6858958601951599,0.18399999,2263,14.35,0.072954714,0.8892272278666496,25250,0.013599984,25250,5.150921,101,-0.01206539
0.23313825,16.277185678482056,0.5414256453514099,0.2036,2344,14.3,0.04099436,0.8793374787271023,25500,0.01767357,25500,5.1451902,102,-0.023865176
0.10915222,16.4079909324646,0.778433158993721,0.17359999,2394,14.8,0.08875062,0.9755644389986992,25750,0.01300347,25750,5.1396246,103,-0.006092533
0.1388646,16.536567211151123,0.7359599769115448,0.2768,2309,15.0,0.08875588,1.0138557380437851,26000,0.020165581,26000,5.1371164,104,-0.007065872
0.17575198,16.668195247650146,0.6535551249980927,0.32119998,2312,15.61,0.0809285,1.1512716141343118,26250,0.027408725,26250,5.1353846,105,-0.0131174
0.19977722,16.800666332244873,0.605998694896698,0.14760001,2399,15.62,0.07293845,1.1530203899741174,26500,0.010689415,26500,5.132337,106,-0.016863886
0.10657513,16.929145574569702,0.784296914935112,0.284,2300,15.88,0.08076383,1.2025641708076,26750,0.022267787,26750,5.127937,107,-0.013582135
0.11693074,17.06179690361023,0.7621116191148758,0.254,2241,16.2,0.08086428,1.2643235373497008,27000,0.019535491,27000,5.1236124,108,-0.013627072
0.10328231,17.200076818466187,0.7898181080818176,0.2376,2230,16.78,0.08083676,1.3758455392718316,27250,0.018167524,27250,5.1203327,109,-0.022794982
0.11842426,17.33607792854309,0.7695981860160828,0.19960001,2428,16.79,0.08875955,1.3777209593355655,27500,0.015276614,27500,5.1154537,110,-0.007652899
0.12956214,17.463560581207275,0.7546645849943161,0.2368,2321,16.7,0.08085232,1.3605090875923633,27750,0.02132013,27750,5.10867,111,-0.015368231
0.09288995,17.595645666122437,0.8069460541009903,0.16920002,2453,16.8,0.08875381,1.379420520067215,28000,0.011527114,28000,5.102076,112,-0.011717428
0.108682655,17.720990419387817,0.7878162860870361,0.22840002,2429,17.14,0.08876271,1.4446060232818128,28250,0.019056069,28250,5.0957565,113,-0.009415176
0.114258885,17.84840703010559,0.7746041417121887,0.3596,2291,17.14,0.08077763,1.4446220953762532,28500,0.039437898,28500,5.094201,114,-0.01075123
0.07554394,17.981444597244263,0.8500466346740723,0.33359998,2354,17.32,0.08875352,1.479052283167839,28750,0.028556943,28750,5.093897,115,-0.011789627
0.09383657,18.111606121063232,0.8121643662452698,0.25759998,1760,17.5,0.08874403,1.5135089661180974,29000,0.019266283,29000,5.092388,116,-0.0047284393
0.11283723,18.277141332626343,0.7816415429115295,0.22639999,2360,17.43,0.08082927,1.50002574339509,29250,0.020401798,29250,5.08727,117,-0.013194774
0.071287,18.40760827064514,0.8561314940452576,0.17880002,2406,17.5,0.08874894,1.5134247794747353,29500,0.013374677,29500,5.0815125,118,-0.013236297
0.08332725,18.535693168640137,0.8353128284215927,0.2188,2438,17.5,0.088754036,1.5134253086149692,29750,0.01789948,29750,5.0773535,119,-0.004429271
0.10706321,18.66205620765686,0.7878558486700058,0.30920002,2332,17.32,0.08084422,1.4789398059248924,30000,0.025962818,30000,5.0725775,120,-0.012692185
0.090728,18.7937273979187,0.8219821453094482,0.254,2427,17.32,0.08079285,1.4789601704478263,30250,0.019576052,30250,5.069676,121,-0.020031668
0.13181195,18.920976638793945,0.7350901067256927,0.2304,2398,16.78,0.06489241,1.3752603854238987,30500,0.01931465,30500,5.070656,122,-0.021922633
0.06524444,19.049769401550293,0.8680270165205002,0.3484,2273,16.78,0.08874376,1.375264473259449,30750,0.032632876,30750,5.0717344,123,-0.02072476
0.1130726,19.18498134613037,0.7737145125865936,0.3308,2302,16.96,0.08872905,1.4097007340192795,31000,0.030359488,31000,5.0722613,124,-0.01661715
0.110417426,19.31782341003418,0.7801638543605804,0.2648,2345,16.78,0.08085931,1.375271723717451,31250,0.02226279,31250,5.07238,125,-0.019207606
0.069612645,19.448137044906616,0.8534991592168808,0.2548,2333,16.87,0.08873311,1.392398349493742,31500,0.022237454,31500,5.0715036,126,-0.015430714
0.0785441,19.579887866973877,0.8494779020547867,0.1536,1732,16.96,0.088742904,1.4096650578081609,31750,0.011062141,31750,5.0695677,127,-0.0059522702
0.1079162,19.747649669647217,0.785223200917244,0.21799998,2483,17.3,0.08083365,1.4752261248230933,32000,0.015925974,32000,5.067547,128,-0.020239368
0.094240874,19.872441053390503,0.8121693432331085,0.21759999,2480,17.32,0.080825195,1.4789820346236229,32250,0.014886293,32250,5.065365,129,-0.011442685
