value_loss,ep_len_mean,true_reward,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,clipfrac,approxkl,n_updates,fps,explained_variance,time_elapsed,serial_timesteps
0.2115628,87.53,-0.015638677,2.2613443224967704,-0.0020827926,4.713963,2450000,0.033444,0.0034129557,98,37321,0.9406321309506893,85.25945401191711,24500
0.21434915,87.04,-0.015992042,2.279682611527885,-0.0027542722,4.703808,2475000,0.041187998,0.0039753574,99,57973,0.9408671408891678,86.31917452812195,24750
0.2119683,87.04,-0.014837169,2.415203902827352,-0.001524377,4.692847,2500000,0.022448,0.002859519,100,60481,0.9398904964327812,87.11622381210327,25000
0.23454437,92.73,-0.013542734,2.551853600117502,-0.0021522017,4.6807985,2525000,0.022100002,0.0026144423,101,58581,0.9375775009393692,87.89869546890259,25250
0.21791378,93.76,-0.011433845,2.646789910567053,-0.0015409403,4.6665683,2550000,0.028644,0.003186725,102,57868,0.9377424567937851,88.7049651145935,25500
0.21150288,87.81,-0.013706582,2.3053450813303518,-0.0019354529,4.6528816,2575000,0.034444,0.003499678,103,59330,0.94419364631176,89.52324724197388,25750
0.25396797,94.4,-0.013593647,2.440585650045368,-0.0019086173,4.6421633,2600000,0.026659999,0.0031000138,104,58222,0.9327177405357361,90.33274865150452,26000
0.24038267,83.85,-0.015426475,2.287716721904916,-0.0022990652,4.63313,2625000,0.031079998,0.0032792366,105,59832,0.9394475407898426,91.13789558410645,26250
0.237006,94.15,-0.01344264,2.4887826593813407,-0.0020996225,4.6229196,2650000,0.031912,0.0033251308,106,57156,0.9354238063097,91.92035627365112,26500
0.20809166,86.94,-0.013723769,2.3038494470928708,-0.0028945417,4.610093,2675000,0.042003997,0.0040701963,107,58706,0.9450361281633377,92.72277975082397,26750
0.17346984,87.25,-0.010871219,2.4256821622756477,-0.0016123131,4.596982,2700000,0.017732,0.0025491982,108,60489,0.9549292661249638,93.53271102905273,27000
0.18046582,91.76,-0.012641093,2.4973745764318482,-0.0021638137,4.585508,2725000,0.023332,0.0026369875,109,59031,0.9527451284229755,94.31826066970825,27250
0.18121201,84.9,-0.01297634,2.2847222505671563,-0.002465664,4.576855,2750000,0.02048,0.002506383,110,59276,0.9505691565573215,95.11356139183044,27500
0.18696211,90.91,-0.00997009,2.4038476345439723,-0.0029187652,4.5644026,2775000,0.035716,0.0035410398,111,59302,0.9483796879649162,95.91091299057007,27750
0.198301,89.37,-0.009254146,2.375144023527812,-0.0026617874,4.550473,2800000,0.033976,0.0034912531,112,59578,0.9470125883817673,96.69742441177368,28000
0.1732862,93.78,-0.008080165,2.4847667710242876,-0.002099725,4.536883,2825000,0.031824,0.0033627849,113,56658,0.9530886299908161,97.5145308971405,28250
0.17702366,85.57,-0.0051646545,2.4930519690707023,-0.0020802165,4.5229287,2850000,0.04034,0.0038880643,114,60332,0.9534984454512596,98.33330392837524,28500
0.17422348,92.03,-0.0044991784,2.7736690025819826,-0.0020964048,4.5102935,2875000,0.034156,0.003434016,115,42257,0.9532498046755791,99.1175925731659,28750
0.20454688,99.69,-0.0032910062,2.6395094660237284,-0.0023007377,4.499076,2900000,0.040332,0.0036585159,116,59852,0.9452243819832802,100.07921648025513,29000
0.17135084,97.43,-0.0022791037,2.741918495588361,-0.0028982102,4.4866295,2925000,0.055280007,0.0047786483,117,58413,0.957405261695385,100.8541612625122,29250
0.17577365,124.94,0.0033456797,3.485720500121115,-0.002585305,4.474608,2950000,0.060039997,0.0051491773,118,58587,0.9539013467729092,101.65284323692322,29500
0.16192368,142.32,0.008008115,4.137523557890163,-0.0022090138,4.460588,2975000,0.066631995,0.0054668607,119,57702,0.9582661688327789,102.4492084980011,29750
0.16441588,143.8,0.0104448525,4.464528134395596,-0.0021555736,4.4472866,3000000,0.064288,0.005191467,120,58732,0.9593828432261944,103.24971151351929,30000
0.14899154,152.66,0.012823856,5.059554719264742,-0.0017127389,4.4369917,3025000,0.05958399,0.0048379423,121,56558,0.9634293168783188,104.05010032653809,30250
0.16092512,134.6,0.0086404,4.253616605096676,-0.002859736,4.4279103,3050000,0.062864,0.00510054,122,58392,0.9579543434083462,104.88090014457703,30500
0.1640396,167.64,0.015536831,5.575781473440266,-0.0028364912,4.4167833,3075000,0.060644,0.0050138263,123,57641,0.95573965087533,105.69210481643677,30750
0.18254521,171.74,0.016246874,5.5714907039884745,-0.0024516983,4.405127,3100000,0.07306,0.0057527325,124,57951,0.9457823745906353,106.49731588363647,31000
0.17098291,187.21,0.021143788,6.50701075143307,-0.0021141416,4.393958,3125000,0.09305201,0.0070268214,125,59377,0.9447694011032581,107.31053853034973,31250
0.18376775,163.12,0.016563272,5.490778734383037,-0.0024658043,4.3826976,3150000,0.05836799,0.0046930974,126,58081,0.9454522132873535,108.08953070640564,31500
0.1785374,195.09,0.022194099,6.844017000560155,-0.0026330948,4.372925,3175000,0.08164399,0.0063393908,127,58407,0.9442866295576096,108.90318775177002,31750
0.17112514,189.8,0.022498637,6.713085747132742,-0.0020813537,4.364861,3200000,0.048776,0.0040952777,128,58251,0.9501961097121239,109.721036195755,32000
0.15978867,214.9,0.028101789,7.599484897769853,-0.002393638,4.356413,3225000,0.091703996,0.006982904,129,58695,0.9390098042786121,110.52272248268127,32250
0.20676728,223.91,0.02787286,7.9258591114097,-0.00071342394,4.3500986,3250000,0.054491997,0.0048832754,130,59573,0.8888858631253242,111.32324886322021,32500
0.12273967,237.11,0.033052675,8.462880468570129,-0.0009201751,4.3446846,3275000,0.060167998,0.0051158974,131,58194,0.9228259325027466,112.12335062026978,32750
0.14308187,232.64,0.032736428,8.536603506203164,-0.00016810936,4.337799,3300000,0.03188,0.003547994,132,58832,0.888383112847805,112.91575860977173,33000
0.10679127,248.52,0.03655424,9.16786259322754,-0.0018536572,4.3312516,3325000,0.023668,0.0028802508,133,60249,0.8988631516695023,113.7213864326477,33250
0.08889229,248.78,0.035203714,8.840300036327653,-0.0016471015,4.324454,3350000,0.029852,0.00304284,134,58264,0.8605550229549408,114.48784375190735,33500
0.09136734,243.73,0.03510417,9.010522791137687,-0.0011797592,4.3165708,3375000,0.006003999,0.0015536788,135,58813,0.8653263300657272,115.28240084648132,33750
0.057494342,250.0,0.036957365,9.239340384930902,-0.0014324021,4.3089705,3400000,0.02304,0.0026388424,136,58650,0.8740329295396805,116.06702494621277,34000
0.058620613,247.65,0.035764676,8.930652452526472,-0.0019841057,4.2995615,3425000,0.037364,0.0037688073,137,57260,0.8980415984988213,116.86589860916138,34250
0.04191876,250.0,0.036156718,9.039179153327982,-0.0018140521,4.290427,3450000,0.019536,0.002459586,138,58653,0.8357751369476318,117.66029715538025,34500
0.035129778,250.0,0.038140427,9.535106607847306,-0.0020775574,4.281644,3475000,0.022668,0.0025500373,139,58699,0.8337101191282272,118.44692158699036,34750
0.063927054,247.26,0.037820697,9.520415841120112,-0.0019682592,4.2717004,3500000,0.029268,0.0030922715,140,56285,0.8053732812404633,119.24398899078369,35000
0.04589096,248.49,0.03405866,8.546667950377005,-0.0020596464,4.2612906,3525000,0.020368,0.0026031565,141,58296,0.8709080219268799,120.04446792602539,35250
0.03142116,247.85,0.039568063,9.90777920917385,-0.0025605387,4.250655,3550000,0.033944,0.003571617,142,56208,0.9091614633798599,120.8315577507019,35500
0.035313092,247.72,0.040956926,10.238868407728132,-0.0016881016,4.238985,3575000,0.058252,0.005125566,143,58874,0.897263191640377,121.62579846382141,35750
0.0574978,246.09,0.039632026,9.904228693691227,-0.00020544059,4.228241,3600000,0.073860005,0.0059379837,144,58925,0.8104806840419769,122.40892601013184,36000
