ep_len_mean,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,n_updates,time_elapsed,policy_loss,value_loss,true_reward,clipfrac,approxkl,fps,total_timesteps
51.03,4.863413,3.6391143712730263,35750,0.8786406219005585,143,129.9025001525879,-0.0015041912,0.95058995,0.03278045,0.027912,0.0031505916,56375,3575000
52.08,4.8571706,3.706721725597745,36000,0.8934147134423256,144,130.70851111412048,-0.0017264656,0.85651064,0.035427727,0.015524,0.0020707704,50864,3600000
50.86,4.8502088,3.6114831768735165,36250,0.8955259397625923,145,131.56827425956726,-0.0017057171,0.80851233,0.033451788,0.028048,0.0030624885,56972,3625000
59.55,4.842412,4.6287143703911715,36500,0.8956130295991898,146,132.3793008327484,-0.001225272,0.8775366,0.03288679,0.021264,0.0028055646,54589,3650000
50.32,4.8373914,3.282126790780276,36750,0.8965748474001884,147,133.20000910758972,-0.0012831652,0.8262677,0.03158401,0.027811999,0.0031417687,57016,3675000
49.19,4.8344073,3.2731711930182064,37000,0.9125858172774315,148,133.99741864204407,-0.0017868604,0.6995221,0.03227576,0.027276,0.002913253,50230,3700000
51.2,4.8324695,3.0365048069551994,37250,0.8768954873085022,149,134.86499524116516,-0.0018017814,0.98000085,0.0289346,0.023872,0.0030023349,54588,3725000
58.11,4.8299294,4.177621310181057,37500,0.8775825798511505,150,135.69042825698853,-0.001624564,0.98875064,0.033715717,0.024144,0.0028276956,54836,3750000
53.15,4.827443,3.6845289074121683,37750,0.8881272375583649,151,136.50881814956665,-0.0011593901,0.9139403,0.029462336,0.025619999,0.0029125637,54369,3775000
50.44,4.8248615,3.4640144810714992,38000,0.8833606317639351,152,137.3290889263153,-0.0015700776,1.0009929,0.031350248,0.025352001,0.002716828,54896,3800000
53.5,4.822366,3.307609273340786,38250,0.8897035643458366,153,138.16942310333252,-0.00096110895,0.93169767,0.03315638,0.034928,0.0035067834,49058,3825000
50.1,4.820176,3.2577944393244977,38500,0.865804523229599,154,139.03545212745667,-0.00057073525,1.1574463,0.032733627,0.0055799996,0.0015045567,56126,3850000
52.16,4.818914,3.5272077204691596,38750,0.8908012211322784,155,139.83702993392944,-0.0019258674,0.8621027,0.03472685,0.033636,0.0035428188,56669,3875000
55.09,4.81463,3.9177846433540253,39000,0.8479389101266861,156,140.64048433303833,-0.0008173045,1.2004086,0.0305508,0.030476,0.0032019038,48088,3900000
55.84,4.8089075,4.213389005415957,39250,0.8589640408754349,157,141.5106499195099,-0.0007529718,1.214538,0.031932227,0.032692,0.0031766635,34446,3925000
58.14,4.803596,4.4225818871446245,39500,0.8571305572986603,158,142.59049224853516,-0.0007748785,1.1899316,0.027579034,0.038428,0.0037797373,56203,3950000
50.13,4.799659,3.6636417921371685,39750,0.8545408546924591,159,143.3855402469635,-0.0011162251,1.2657052,0.031504463,0.035628,0.003708766,55464,3975000
49.31,4.795771,4.035521319272229,40000,0.8825395107269287,160,144.1913857460022,-0.0015446099,0.95632684,0.038648676,0.022584,0.0026045,48068,4000000
49.48,4.7918525,3.5879484860126105,40250,0.89083381742239,161,145.06520533561707,-0.0016138933,0.9278625,0.039174926,0.02948,0.0031074795,50817,4025000
55.24,4.7872987,4.219204373427201,40500,0.8702790439128876,162,145.92221856117249,-0.0013160697,1.0759493,0.037835006,0.031487998,0.0029930575,50610,4050000
54.12,4.7841883,4.436361551079317,40750,0.8718116730451584,163,146.80036878585815,-0.0009556459,1.079573,0.03175662,0.008404,0.0014179853,55346,4075000
51.62,4.7806907,4.13107297798153,41000,0.8936459124088287,164,147.60703110694885,-0.0024031044,0.83835125,0.037125196,0.041087996,0.004111575,43314,4100000
48.47,4.7741923,3.8906428800159483,41250,0.8893638923764229,165,148.53077244758606,-0.0011332392,0.909397,0.03784352,0.023899999,0.00275184,56392,4125000
55.39,4.7678075,3.853486915043322,41500,0.8633874654769897,166,149.336327791214,-0.00055989204,1.0300082,0.0345443,0.033731997,0.0034597807,56871,4150000
