fps,ep_len_mean,total_timesteps,policy_entropy,true_reward,serial_timesteps,approxkl,clipfrac,explained_variance,value_loss,policy_loss,time_elapsed,n_updates,ep_reward_mean
62163,250.0,6775000,1.0080252,0.18427582,67750,0.025018796,0.27111602,0.8148055970668793,0.01516111,0.012302331,217.62130212783813,271,46.06895552650094
61076,250.0,6800000,1.006891,0.18408488,68000,0.031432148,0.2712,0.8242131173610687,0.026663631,0.020848358,218.40719938278198,272,46.021220803186296
60701,250.0,6825000,1.0071731,0.18405351,68250,0.0052602035,0.063871995,0.5574047267436981,0.017660521,-0.0007304284,219.19108128547668,273,46.01337968692184
60549,250.0,6850000,1.0075718,0.18386348,68500,0.009955518,0.13492398,0.795481413602829,0.013660379,0.00083793455,219.98981475830078,274,45.96586955353618
62402,250.0,6875000,1.0062926,0.18391001,68750,0.0065115364,0.08156,0.7066821157932281,0.010497042,-0.00080037647,220.78371357917786,275,45.97750722557306
59846,250.0,6900000,1.0023093,0.18369305,69000,0.0074976645,0.09978,0.8199478536844254,0.010441077,-0.0022844141,221.55230832099915,276,45.9232634820044
61795,250.0,6925000,0.99776125,0.1837834,69250,0.007846095,0.104064,0.8101432025432587,0.0072525544,-0.0015624485,222.36530923843384,277,45.945846240371466
61579,247.99,6950000,0.9929446,0.18317454,69500,0.008325304,0.109923996,0.7543379962444305,0.04942629,-0.00228798,223.13695001602173,278,45.48356708399952
61110,248.56,6975000,0.98913336,0.18310396,69750,0.010903721,0.14734799,0.33318185806274414,0.15865892,-0.0027792144,223.91205978393555,279,45.56819102689624
61339,250.0,7000000,0.9847643,0.18360117,70000,0.006049543,0.075559996,0.8215849995613098,0.008471488,-0.0021458967,224.7074694633484,280,45.9002953325212
61064,250.0,7025000,0.9774817,0.18354253,70250,0.0070845173,0.091488,0.8412501960992813,0.007938085,-0.00167488,225.49589657783508,281,45.88563289731741
62989,247.64,7050000,0.96969473,0.1835832,70500,0.0112069445,0.147356,0.3297315835952759,0.08166413,-0.0026759014,226.28873133659363,282,45.497315451353785
60208,249.24,7075000,0.9664838,0.18333806,70750,0.013881823,0.18210801,0.44458848237991333,0.08199971,-0.0022812227,227.0946524143219,283,45.72256259903312
61788,249.11,7100000,0.96576846,0.18346708,71000,0.038127944,0.34146398,0.38228654861450195,0.079148576,0.0032708042,227.89730405807495,284,45.73576896980405
61925,249.31,7125000,0.96841735,0.18365242,71250,0.029138621,0.30108,0.39380067586898804,0.08140485,0.0014031185,228.67702531814575,285,45.81382480673492
60939,250.0,7150000,0.9700037,0.18365133,71500,0.025350118,0.286328,0.8271435648202896,0.009854433,0.009973961,229.45386123657227,286,45.91282775841653
61199,250.0,7175000,0.9692259,0.18411446,71750,0.0088458415,0.119844,0.8407480120658875,0.007423865,-0.00042427838,230.248309135437,287,46.02861463069916
61456,249.32,7200000,0.96761197,0.18375398,72000,0.011697232,0.16097197,0.4066009521484375,0.07896933,-0.0023121086,231.02808046340942,288,45.84284618064761
61218,248.21,7225000,0.96816444,0.18375754,72250,0.024316449,0.282208,0.8190423399209976,0.041113302,0.00217048,231.8339204788208,289,45.70133448541164
61092,250.0,7250000,0.96798927,0.18402313,72500,0.01611991,0.189892,0.870009645819664,0.01123532,0.003255916,232.6060025691986,290,46.0057841925323
61819,249.01,7275000,0.9666337,0.18392088,72750,0.008167252,0.110392,0.3587379455566406,0.08679662,-0.0029714145,233.39673280715942,291,45.826240095421674
61317,250.0,7300000,0.9655029,0.18437527,73000,0.010116147,0.132524,0.8168890327215195,0.014352575,0.0011130841,234.17640900611877,292,46.093815521746876
61025,249.29,7325000,0.9639033,0.18370306,73250,0.01135059,0.149344,0.3401661515235901,0.09039269,0.0003840066,234.96213912963867,293,45.825327236056324
60818,248.73,7350000,0.96141034,0.18342279,73500,0.008110119,0.089632,0.9139609113335609,0.033650905,-0.004711681,235.7436487674713,294,45.69926491379738
61634,250.0,7375000,0.9557333,0.18414305,73750,0.008957912,0.11830801,0.8422582149505615,0.009796998,-0.0010033076,236.51853847503662,295,46.035764421522614
60478,250.0,7400000,0.9470393,0.18391837,74000,0.0064071515,0.08142801,0.8469779789447784,0.010237377,-0.0030216877,237.28758001327515,296,45.97959770739079
60579,250.0,7425000,0.94168484,0.18415456,74250,0.008058369,0.10234,0.8485061079263687,0.008879841,-0.0013106407,238.06366515159607,297,46.03863590657711
63081,250.0,7450000,0.9380781,0.18425795,74500,0.009805066,0.123316005,0.8366977423429489,0.0086506875,-0.000312785,238.85984683036804,298,46.064488342553375
61338,250.0,7475000,0.9326277,0.18406162,74750,0.0060860957,0.075320005,0.879613921046257,0.009846183,-0.0021501512,239.62689757347107,299,46.01540916524827
61422,250.0,7500000,0.92791665,0.18403107,75000,0.01083176,0.14424,0.8574406951665878,0.017254304,-0.0020122833,240.41810393333435,300,46.007768217027184
