explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac,time_elapsed,fps,value_loss,approxkl,ep_len_mean,total_timesteps,policy_loss,policy_entropy,serial_timesteps
0.8941983208060265,0.12762764,306,9.751475636695032,0.061799996,244.42867922782898,69850,1.3208909,0.0053050714,104.63,7650000,-0.0014354731,4.535161,76500
0.9112496748566628,0.13141638,307,8.345579297325639,0.061972003,245.18581247329712,68085,1.1696222,0.00521119,95.35,7675000,-0.0029644072,4.533259,76750
0.9156440868973732,0.14097676,308,9.883739360021682,0.051136,245.95348358154297,70065,1.0772355,0.0045806495,98.53,7700000,-0.001933038,4.530472,77000
0.9245822802186012,0.13562585,309,10.076240098210947,0.062392004,246.701242685318,69136,1.0061879,0.0052224915,105.67,7725000,-0.0035605282,4.529084,77250
0.925788164138794,0.12126426,310,10.06513284284859,0.039800003,247.45462441444397,68806,1.055189,0.0037487843,115.66,7750000,-0.002561184,4.5266085,77500
0.9003464207053185,0.13096789,311,11.247180144654536,0.043588,248.21202778816223,67623,1.2446045,0.0040823417,110.24,7775000,-0.0023131338,4.5238676,77750
0.9135186448693275,0.1351843,312,10.899092895859066,0.047344,248.9692840576172,69792,1.0874453,0.00439522,110.83,7800000,-0.0032527656,4.5207443,78000
0.9155527055263519,0.12845731,313,11.107389804851215,0.043616,249.70826625823975,66762,1.1666882,0.0040860786,109.73,7825000,-0.0016463415,4.517194,78250
0.9265917465090752,0.1437759,314,10.775464449323408,0.061276,250.4669907093048,68512,0.91457427,0.005177524,101.8,7850000,-0.002271688,4.513527,78500
0.9072126299142838,0.1370867,315,9.958870273592382,0.061824,251.22353649139404,66518,1.1821791,0.0052688094,99.66,7875000,-0.0024123155,4.5114098,78750
0.9101282209157944,0.13564584,316,11.06257000325777,0.045308,251.99483966827393,67192,1.1450332,0.004305657,108.98,7900000,-0.0019827215,4.5118713,79000
0.9198646992444992,0.12830275,317,12.5027989885422,0.051656,252.7781901359558,70023,1.054382,0.0045144465,117.39,7925000,-0.0034795213,4.511243,79250
0.9091940522193909,0.13067932,318,9.738843955516632,0.038148,253.52904391288757,66979,1.2992499,0.003725872,96.11,7950000,-0.0025153332,4.5082664,79500
0.8958046361804008,0.13393506,319,9.7074998554396,0.046336,254.30427169799805,65789,1.334345,0.004124285,95.53,7975000,-0.0021126966,4.503541,79750
0.9156405329704285,0.13196486,320,10.299230840280815,0.053551994,255.06204915046692,71249,1.1721199,0.004723413,104.95,8000000,-0.0029164003,4.501325,80000
0.8983791992068291,0.13684985,321,11.556303699401905,0.048479997,255.79360127449036,68816,1.2733294,0.004257112,106.31,8025000,-0.0025778143,4.4985547,80250
0.9012074917554855,0.12785928,322,10.298814429492959,0.049968,256.54599809646606,67515,1.3165373,0.004504081,105.64,8050000,-0.003187616,4.4959464,80500
0.9163401499390602,0.13896315,323,10.564382688716705,0.053451996,257.2897934913635,70112,1.0713098,0.004698415,102.64,8075000,-0.00278033,4.492744,80750
0.8816741406917572,0.14260906,324,9.105502128506568,0.056436002,258.0219385623932,66091,1.5096991,0.0048998455,91.21,8100000,-0.003027773,4.4872704,81000
0.9078816398978233,0.13707857,325,10.241997684972612,0.073684,258.7930302619934,67239,1.1866453,0.0059654396,99.79,8125000,-0.0031756416,4.4828978,81250
0.9130982011556625,0.13650647,326,11.902648789069953,0.06990801,259.54685401916504,63894,1.0193661,0.0058502583,109.55,8150000,-0.0021375394,4.479692,81500
0.9047296866774559,0.13673568,327,11.930772762028392,0.057756,260.33235025405884,67822,1.1669235,0.0049875705,111.53,8175000,-0.0023052983,4.4757967,81750
0.9296286255121231,0.13371947,328,8.533974163288022,0.061328005,261.08219504356384,67048,0.96358967,0.0053378316,97.88,8200000,-0.003473116,4.47307,82000
0.9055895656347275,0.13731508,329,11.675302085128187,0.036056,261.84867668151855,71089,1.1307955,0.0035408344,105.47,8225000,-0.0017861439,4.4708176,82250
0.9114315435290337,0.13173905,330,10.084523479584519,0.062164,262.58315801620483,68108,1.1305611,0.005316228,104.6,8250000,-0.0025778222,4.4693274,82500
0.9341186881065369,0.14736481,331,12.20495743100244,0.064048,263.32929825782776,69133,0.99081886,0.0052570184,108.18,8275000,-0.0019907758,4.467661,82750
0.8869728147983551,0.14444707,332,13.222689261702653,0.09896,264.0763416290283,70915,1.3788847,0.0076546026,113.89,8300000,-0.001212666,4.4651837,83000
0.9224910289049149,0.124171756,333,12.465623841989974,0.16613999,264.8147988319397,68731,1.072828,0.013384433,127.5,8325000,0.00290084,4.463381,83250
0.9379148408770561,0.13451469,334,10.377997490616917,0.078076,265.5590498447418,70331,0.8594095,0.0062601725,106.36,8350000,-0.0011197032,4.460313,83500
0.9100710451602936,0.13623169,335,12.007213281839013,0.146304,266.2978038787842,68211,1.1325186,0.0113457525,109.39,8375000,0.0013358719,4.456444,83750
0.9045945629477501,0.13411559,336,11.007198483298637,0.13324,267.0450391769409,70616,1.2775319,0.009835758,117.09,8400000,0.00058909424,4.453657,84000
0.9191016480326653,0.14231819,337,13.083001467626874,0.123348,267.77306151390076,67044,1.1225239,0.009428543,115.76,8425000,-0.0013192147,4.4522285,84250
0.9160776138305664,0.13801877,338,9.476951559078334,0.106107995,268.5312235355377,71405,1.1850908,0.008139299,95.89,8450000,-0.0009955459,4.4500675,84500
0.9010588824748993,0.14163329,339,12.017791087376573,0.072704,269.2738184928894,69240,1.5276042,0.0058250353,109.4,8475000,-0.0023156314,4.4467516,84750
0.9009101018309593,0.13858262,340,12.5972398145346,0.070696004,270.0245349407196,67472,1.2511898,0.0058193505,116.01,8500000,-0.0019511643,4.4438415,85000
0.884003646671772,0.13530692,341,8.931873437585782,0.048968,270.78813910484314,70133,1.6018703,0.0043226103,97.46,8525000,-0.0023376374,4.441887,85250
0.8809339106082916,0.13443424,342,10.352907543713172,0.041604,271.52787923812866,69024,1.5776969,0.0038861693,103.64,8550000,-0.0021670337,4.440637,85500
