clipfrac,fps,ep_len_mean,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,policy_loss,explained_variance,value_loss,total_timesteps,ep_reward_mean,time_elapsed
0.042563997,55612,6.02,3.9585247,30250,121,-0.87268406,0.0039957073,-0.0041778763,0.6995846927165985,0.027938899,3025000,0.0984339439937321,132.08839797973633
0.0387,52257,5.29,3.9460158,30500,122,-0.8714871,0.003956336,-0.0038785501,0.7088054716587067,0.0272237,3050000,0.1077875581826811,133.03602647781372
0.037504,55387,4.87,3.932302,30750,123,-0.86458486,0.003794036,-0.004059325,0.6965686082839966,0.028902298,3075000,0.07765743280658739,134.04726195335388
0.03612,54483,5.55,3.9172242,31000,124,-0.8597213,0.0037047688,-0.0039516487,0.7000950574874878,0.028830644,3100000,0.104591992323476,134.97458052635193
0.039876,54478,4.86,3.9030704,31250,125,-0.85816026,0.00383122,-0.003984588,0.7055560946464539,0.028539661,3125000,0.08109110721110482,135.9284794330597
0.036756,55211,5.23,3.889714,31500,126,-0.86329025,0.0037772413,-0.0034797112,0.6950377225875854,0.029741734,3150000,0.08482971029385226,136.90696239471436
0.047924,54309,5.32,3.8767529,31750,127,-0.855732,0.004458341,-0.0033204886,0.7000933885574341,0.029718513,3175000,0.11101742603115781,137.80874514579773
0.032456003,54244,5.24,3.8654869,32000,128,-0.8580675,0.003352927,-0.0033553666,0.7010551989078522,0.029164365,3200000,0.08660726158210309,138.73802495002747
0.043107998,46433,5.63,3.8539798,32250,129,-0.84836406,0.00420992,-0.0034836952,0.7132504880428314,0.02812644,3225000,0.0879237383777945,139.73275899887085
0.048608005,56420,5.19,3.8424995,32500,130,-0.85524124,0.0044738823,-0.0038714982,0.6998648941516876,0.030124158,3250000,0.09785662600264913,140.86071109771729
0.049188003,52595,5.58,3.8314087,32750,131,-0.84552664,0.0044600638,-0.0024993385,0.7163406014442444,0.02837145,3275000,0.09277781827026046,141.95735573768616
0.038604,53805,5.65,3.82091,33000,132,-0.84479165,0.0038814198,-0.0038091862,0.7008810639381409,0.030302217,3300000,0.11121220518412883,142.91500329971313
0.033896003,44434,5.65,3.8090272,33250,133,-0.8437978,0.0036237813,-0.0033331376,0.6964929699897766,0.031091627,3325000,0.10994246159825707,143.88927912712097
0.041148,51683,4.84,3.7967007,33500,134,-0.846443,0.003966942,-0.0037432387,0.6990903913974762,0.030660653,3350000,0.0727217071870109,144.96278548240662
0.047983997,52572,6.31,3.784661,33750,135,-0.83034104,0.0044691144,-0.0038304697,0.7027606070041656,0.03134338,3375000,0.12429013582641346,146.01848888397217
0.037508,52571,5.64,3.7733357,34000,136,-0.83598447,0.0039699883,-0.0035457953,0.712577223777771,0.030005494,3400000,0.10836063377830214,147.0777451992035
0.028640002,52736,5.48,3.7617161,34250,137,-0.8330677,0.0030591788,-0.0033376585,0.7054737210273743,0.03058512,3425000,0.09412497546298254,148.11764073371887
0.059364,53953,5.46,3.7501252,34500,138,-0.83506,0.0051123677,-0.0033075649,0.694714367389679,0.0323732,3450000,0.09208501593500841,149.09018850326538
0.041068,56146,5.79,3.7396252,34750,139,-0.8220233,0.0039753537,-0.003545393,0.7148526608943939,0.030291174,3475000,0.08521313425138942,150.09326219558716
0.033644,52135,5.48,3.728841,35000,140,-0.82241076,0.003609871,-0.0037338655,0.7165355384349823,0.030381924,3500000,0.11975799832311168,151.02064561843872
0.049172003,55133,6.16,3.7173123,35250,141,-0.81951743,0.0044884314,-0.003512986,0.7058297693729401,0.032036025,3525000,0.1350786084003994,151.99710941314697
0.02996,54814,5.4,3.7061524,35500,142,-0.8166308,0.0033517662,-0.0033854754,0.7036848068237305,0.03265774,3550000,0.1025085520758148,152.93307971954346
0.042887997,50249,6.07,3.6949284,35750,143,-0.8094602,0.0041677714,-0.0030333437,0.7088228464126587,0.0323003,3575000,0.12381284851013334,153.85431098937988
0.039364,51666,6.01,3.6836047,36000,144,-0.8062896,0.0039313347,-0.0035244846,0.7198072075843811,0.03136937,3600000,0.124865046641562,154.80941605567932
0.030992001,54923,5.69,3.6718037,36250,145,-0.8260793,0.0035057932,-0.0030631754,0.7136438488960266,0.031983174,3625000,0.09958875788182922,155.75024962425232
0.051164,55026,6.29,3.660265,36500,146,-0.80255264,0.0046036546,-0.0037122872,0.7111913859844208,0.031868972,3650000,0.12908230410716443,156.6699619293213
0.029568002,53539,6.02,3.6489277,36750,147,-0.8107493,0.0032260516,-0.0037862726,0.7100466191768646,0.03188433,3675000,0.10835298400103056,157.59155869483948
0.055075996,55066,5.41,3.6369655,37000,148,-0.80584025,0.004872779,-0.003853615,0.7092686593532562,0.032907132,3700000,0.08407137074316778,158.51561331748962
0.026835999,49214,5.52,3.6254487,37250,149,-0.8063036,0.0030998099,-0.0035244562,0.7076073884963989,0.032673635,3725000,0.08460052398921107,159.49601078033447
0.045247998,50929,5.69,3.6134865,37500,150,-0.79134756,0.004294719,-0.003625289,0.721900075674057,0.032081943,3750000,0.11920360996446107,160.49009943008423
0.041504,54563,6.79,3.6022248,37750,151,-0.7891298,0.0040618214,-0.0031416907,0.7166159749031067,0.033124335,3775000,0.13490129496683947,161.47122263908386
0.038312,55464,5.76,3.5920472,38000,152,-0.80210865,0.0037911176,-0.0037370287,0.7018290162086487,0.034807242,3800000,0.12111270250665257,162.38498425483704
0.0334,48659,5.64,3.5815697,38250,153,-0.79081666,0.0035694358,-0.0035448447,0.7088100910186768,0.033485115,3825000,0.10654355907181526,163.3444685935974
0.038512,55570,6.32,3.570104,38500,154,-0.7879428,0.004001905,-0.0031529602,0.7050601840019226,0.034300577,3850000,0.11791544207037077,164.49968433380127
0.042531997,57796,6.18,3.5584893,38750,155,-0.78086776,0.004172164,-0.0038618192,0.7121811211109161,0.033918086,3875000,0.13020693158872745,165.4003186225891
0.046528,56793,6.05,3.5470116,39000,156,-0.7761782,0.0044073504,-0.0032831512,0.7193476557731628,0.033683375,3900000,0.10922075291389774,166.28436398506165
