total_timesteps,approxkl,fps,value_loss,serial_timesteps,time_elapsed,true_reward,explained_variance,policy_loss,clipfrac,n_updates,ep_reward_mean,ep_len_mean,policy_entropy
3700000,0.0053236624,54533,0.025467986,37000,133.13708209991455,0.042393353,0.9691059682518244,-0.0028075422,0.062044002,148,8.7017993870399,207.0,0.67374206
3725000,0.0048173564,53558,0.03195686,37250,133.99044728279114,0.04306132,0.9612172916531563,-0.0023043249,0.052924,149,8.637953704379324,198.57,0.6690117
3750000,0.008349757,54044,0.021292051,37500,134.84128642082214,0.041055243,0.9762197025120258,-0.001735742,0.11122,150,8.567260655577893,209.7,0.66128075
3775000,0.007136139,56745,0.017209161,37750,135.68788957595825,0.040386215,0.9790688622742891,-0.0020523476,0.09338399,151,8.44289572737045,211.64,0.65577966
3800000,0.006395603,55614,0.019020569,38000,136.51990461349487,0.040319666,0.9761280100792646,-0.0024947696,0.080676,152,8.876291512328827,218.83,0.65141416
3825000,0.0062847906,55374,0.018226054,38250,137.34502053260803,0.040746246,0.9778440892696381,-0.0028022802,0.079832,153,8.37629882622794,206.65,0.64758754
3850000,0.007383528,56254,0.016596448,38500,138.1839039325714,0.04170569,0.979510510340333,-0.0020056504,0.096604005,154,8.80833198818167,212.29,0.64587134
3875000,0.0061607426,54442,0.020041702,38750,139.01003456115723,0.042353764,0.9766677934676409,-0.0032146913,0.075816005,155,8.73969894481801,208.81,0.6448103
3900000,0.00600311,54784,0.022791479,39000,139.8476505279541,0.040169157,0.976665623486042,-0.002634871,0.074912,156,8.697343944300227,214.68,0.64109224
3925000,0.006432824,53297,0.025951972,39250,140.68895363807678,0.04075581,0.9674498997628689,-0.0028910227,0.079632,157,8.741977138455868,213.65,0.63572985
3950000,0.0064671515,54760,0.03982296,39500,141.53584027290344,0.041446548,0.9597134366631508,-0.0026135002,0.083516,158,8.61181276953522,206.01,0.63013756
3975000,0.0052834414,54670,0.011698446,39750,142.36965227127075,0.040425126,0.9871299751102924,-0.0024361669,0.062159996,159,8.019048472065043,199.47,0.62700784
4000000,0.0051526157,54815,0.020275433,40000,143.24024510383606,0.040706396,0.9778546169400215,-0.0019666816,0.058672,160,8.306258697373924,205.92,0.627553
4025000,0.0062726424,56204,0.020426936,40250,144.08707642555237,0.040476047,0.9778542499989271,-0.0015439511,0.08104,161,8.37479910642211,208.07,0.62809503
4050000,0.00805674,56056,0.024474736,40500,144.91989183425903,0.04083355,0.9754802100360394,-0.0016432361,0.10276,162,8.005097757317083,195.56,0.6269145
4075000,0.0061522503,55176,0.019394364,40750,145.74786376953125,0.04081385,0.9780619367957115,-0.0029652577,0.07548399,163,8.029446544788689,199.62,0.6286031
4100000,0.0067796335,55329,0.024376556,41000,146.58668971061707,0.041394863,0.9730696305632591,-0.0027353852,0.087496,164,8.078334319065215,200.18,0.62794065
