fps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,explained_variance,true_reward,policy_loss,value_loss,policy_entropy,time_elapsed,total_timesteps,ep_len_mean,approxkl
54775,0.009579999,9.75701713543609,153,38250,0.904383510351181,0.044398066,-0.0013004864,0.26022583,5.2240424,143.3476915359497,3825000,193.66,0.001642305
54717,0.053411998,10.310594440678397,154,38500,0.9103081971406937,0.04591547,-0.0021848201,0.25353134,5.2203984,144.19729828834534,3850000,196.43,0.0044642393
53865,0.051484,10.30003242962157,155,38750,0.9333696961402893,0.04679706,-0.0016057838,0.20242186,5.218017,145.0645296573639,3875000,194.87,0.0043353783
53922,0.066420004,9.211949058388782,156,39000,0.8762991204857826,0.042948324,-0.001449825,0.40185595,5.2199802,145.93398642539978,3900000,177.52,0.0053091315
49161,0.033764,9.665518385240576,157,39250,0.8952129259705544,0.045316122,-0.00096466,0.34490108,5.220065,146.80352997779846,3925000,179.2,0.0032976135
54047,0.017064001,10.658088779554165,158,39500,0.9411496371030807,0.047879364,-0.0013587637,0.16536115,5.215256,147.7194414138794,3950000,198.58,0.0023581684
55219,0.027331999,10.828131301475223,159,39750,0.933961495757103,0.049379043,-0.0013971967,0.19566503,5.204652,148.59104371070862,3975000,197.81,0.0030743857
55427,0.030963998,10.21267412189236,160,40000,0.9370489194989204,0.047531664,-0.0013855706,0.17511693,5.1998563,149.4487054347992,4000000,196.18,0.0033389535
56201,0.018987998,9.262078563434079,161,40250,0.9327123612165451,0.043510433,-0.00072173,0.18179879,5.2006006,150.31049370765686,4025000,186.53,0.0026645886
55350,0.020043999,9.244094778881445,162,40500,0.8479409515857697,0.040245444,-0.0011881961,0.42009434,5.200413,151.15621709823608,4050000,187.53,0.0024496764
56114,0.010784,8.53972959412571,163,40750,0.8793130218982697,0.039081812,-0.00063279195,0.40038934,5.19974,152.00391674041748,4075000,173.83,0.0018114817
55034,0.04042,10.047248347729765,164,41000,0.9477257542312145,0.04593425,-0.0016251334,0.15709625,5.198587,152.85427069664001,4100000,191.19,0.003905674
54895,0.039375998,9.438521181464646,165,41250,0.942238200455904,0.042845685,-0.0021018335,0.20867269,5.1988683,153.70625972747803,4125000,180.0,0.0037771028
55822,0.048075996,10.58521971268179,166,41500,0.9599550813436508,0.0483469,-0.001982285,0.13191412,5.199256,154.56548404693604,4150000,197.75,0.0042147813
45933,0.037164,11.54494059734332,167,41750,0.9670282937586308,0.05143105,-0.0014097339,0.10121934,5.1963654,155.4124231338501,4175000,211.3,0.003624815
50990,0.02468,9.919349152386422,168,42000,0.9661586135625839,0.047396813,-0.0014735896,0.11271099,5.1895843,156.36101722717285,4200000,193.44,0.0028076652
54886,0.037828002,8.989574333982018,169,42250,0.9615342020988464,0.045136273,-0.0016478173,0.1431763,5.1848984,157.24968266487122,4225000,175.06,0.0037157673
51305,0.055404,9.196847610249097,170,42500,0.9510299637913704,0.04431694,-0.001480371,0.18239968,5.1829424,158.12519073486328,4250000,183.23,0.0046503823
52732,0.065712,8.546662606520695,171,42750,0.9498488754034042,0.043676246,-0.0017222837,0.19597325,5.183852,159.02615022659302,4275000,164.53,0.0052091647
52975,0.023215998,8.891093956442418,172,43000,0.9633957408368587,0.04470148,-0.0012383651,0.14386241,5.1819563,159.9143989086151,4300000,177.07,0.002838729
