policy_entropy,ep_reward_mean,time_elapsed,true_reward,n_updates,clipfrac,policy_loss,fps,total_timesteps,explained_variance,serial_timesteps,value_loss,approxkl,ep_len_mean
-0.93587095,7.589930912734144,1284.8178436756134,0.0421775,1483,0.073764004,-0.0030802044,56118,37075000,0.9877329086884856,370750,0.010435932,0.005923562,183.13
-0.9391309,8.968487501498966,1285.648964881897,0.04283491,1484,0.120112,-0.0013198322,54401,37100000,0.9899045927450061,371000,0.0068932762,0.008948723,211.42
-0.9421009,8.722604798479951,1286.4881975650787,0.043472804,1485,0.26262,0.006242251,57179,37125000,0.9896116415038705,371250,0.0072286725,0.020758336,202.65
-0.9427854,8.329297600712561,1287.3262598514557,0.041732494,1486,0.10526799,-0.0004118822,55350,37150000,0.9837978444993496,371500,0.010964468,0.007881386,204.83
-0.9439498,8.665350781265879,1288.1307184696198,0.04282284,1487,0.11117999,-0.0013557193,56531,37175000,0.9895283272489905,371750,0.008264373,0.0082549425,201.99
-0.9467772,7.88630852567454,1288.9328393936157,0.04171687,1488,0.111232,-0.0018700224,57008,37200000,0.9858158268034458,372000,0.011170162,0.008306194,191.91
-0.94796723,7.971185638866009,1289.7210545539856,0.042332,1489,0.076856,-0.0024332465,57785,37225000,0.9874867694452405,372250,0.009669437,0.0061789444,193.11
-0.94977665,8.095009438031376,1290.5284430980682,0.042536967,1490,0.09918801,-0.0017758686,57212,37250000,0.9832286145538092,372500,0.012689881,0.007624963,195.85
-0.95193434,8.614795287066627,1291.3495931625366,0.041567627,1491,0.105872,-0.0029832323,58895,37275000,0.9828015360981226,372750,0.013399268,0.007968748,206.27
-0.9499817,8.572457129576781,1292.12748837471,0.042765778,1492,0.184732,0.0013469115,56420,37300000,0.9796187244355679,373000,0.01504864,0.013118188,203.58
-0.9466031,8.03011771575957,1292.9230329990387,0.04364861,1493,0.152548,0.00038882898,57405,37325000,0.9885326493531466,373250,0.009534329,0.011004744,187.32
-0.9455805,9.192781521545184,1293.707573890686,0.043369796,1494,0.086592,-0.0034392183,57049,37350000,0.9836265128105879,373500,0.011046495,0.0068545677,213.91
-0.95122135,8.582844603844533,1294.501403093338,0.042923097,1495,0.123188004,-0.0007588997,56295,37375000,0.9812104068696499,373750,0.01474529,0.008998564,203.19
-0.9550689,8.708779114142999,1295.2868263721466,0.041822974,1496,0.12264,-0.0005765203,57583,37400000,0.9843263234943151,374000,0.010432962,0.009212228,210.16
-0.95612496,8.558904743648654,1296.0819010734558,0.04187342,1497,0.083656,-0.0018891381,55730,37425000,0.9783974941819906,374250,0.01606289,0.0064121573,205.91
-0.9588245,8.248819995388367,1296.878137588501,0.042182636,1498,0.131864,0.00014610923,58256,37450000,0.9894247623160481,374500,0.009940766,0.0096716015,197.15
-0.9616493,8.436797558631316,1297.6561405658722,0.042564664,1499,0.154044,0.0025705623,55830,37475000,0.9924611262977123,374750,0.0087103415,0.011781749,201.54
-0.96292335,8.312054222330243,1298.470504283905,0.04205417,1500,0.110588,-0.001160722,55279,37500000,0.9819345269352198,375000,0.011949747,0.008409995,202.62
-0.9646834,8.164533651863385,1299.3266627788544,0.04259192,1501,0.15118799,0.0006959973,56811,37525000,0.9834741316735744,375250,0.013532685,0.012306929,194.09
-0.9660018,8.455247515952797,1300.1394040584564,0.04204868,1502,0.177524,0.0022266584,57636,37550000,0.9812870472669601,375500,0.016701538,0.012722762,198.2
-0.96781313,7.8236912284490066,1300.940845489502,0.042217202,1503,0.138756,-0.0015905307,57925,37575000,0.9868357721716166,375750,0.011862591,0.010731139,187.01
-0.96934927,8.51810324538812,1301.7487590312958,0.04134666,1504,0.10387601,-0.0024710693,58438,37600000,0.9761666245758533,376000,0.016138794,0.007898039,208.57
-0.9676057,8.388611530526614,1302.5510115623474,0.04220174,1505,0.153784,0.00045823157,57329,37625000,0.9783747438341379,376250,0.0164362,0.013065241,198.9
-0.9669827,9.16632490817526,1303.363571882248,0.044066,1506,0.114868,-0.0013028545,55188,37650000,0.9836983270943165,376500,0.010983458,0.008614408,209.22
-0.96786135,8.852182050171686,1304.1833555698395,0.042779785,1507,0.103903994,-0.0007340546,57755,37675000,0.9870776366442442,376750,0.009916006,0.008023613,207.5
-0.96836436,7.717999892277858,1304.9835228919983,0.04207386,1508,0.118296005,-0.0014388228,56594,37700000,0.9840708523988724,377000,0.012785934,0.0086933235,188.31
-0.9673257,8.313439950649972,1305.794856786728,0.04143827,1509,0.10290401,-0.0017032677,56893,37725000,0.9842243660241365,377250,0.012550349,0.007827737,201.66
-0.967615,8.624677286708721,1306.6031682491302,0.04340098,1510,0.173116,0.0017749667,56143,37750000,0.9803236983716488,377500,0.015622643,0.012763241,198.38
-0.96937466,8.433293293173046,1307.4098317623138,0.041445103,1511,0.10200801,-0.0021940125,56561,37775000,0.9834864288568497,377750,0.013132714,0.007916061,203.57
