serial_timesteps,value_loss,explained_variance,n_updates,ep_reward_mean,true_reward,policy_entropy,time_elapsed,ep_len_mean,clipfrac,fps,policy_loss,approxkl,total_timesteps
27750,0.03383248,0.6289241313934326,111,0.07518977672341862,-0.91990906,4.065181,123.82833790779114,4.62,0.048092,52771,-0.0029360347,0.004522871,2775000
28000,0.032704104,0.6400278508663177,112,0.10492422470415477,-0.9163664,4.053214,124.85573387145996,5.15,0.041536,53285,-0.0030378108,0.004073166,2800000
28250,0.034236938,0.6321153342723846,113,0.0848719262035229,-0.90936995,4.0414953,125.8403627872467,4.77,0.052015997,48200,-0.0026677265,0.004719732,2825000
28500,0.0324001,0.6486785113811493,114,0.10237569807196906,-0.9040869,4.0300183,126.87870812416077,5.02,0.030832002,53026,-0.0029812667,0.003486319,2850000
28750,0.03262197,0.6495005488395691,115,0.12299724828902982,-0.9114835,4.0180936,127.88774394989014,5.49,0.048972,48447,-0.003205254,0.004483983,2875000
29000,0.033214316,0.6448772251605988,116,0.10559341576259612,-0.90739685,4.0064707,128.8667812347412,5.54,0.043436,55484,-0.0035171732,0.0042800726,2900000
29250,0.034113307,0.643518716096878,117,0.11966073117782798,-0.89588064,3.9946003,129.79395842552185,4.76,0.067191996,53489,-0.0021936088,0.005472113,2925000
29500,0.03317976,0.6545726358890533,118,0.06510410984956252,-0.8888178,3.9828944,130.81801986694336,4.47,0.02998,51358,-0.003552911,0.0033469938,2950000
29750,0.033398643,0.6581869721412659,119,0.10628169293800056,-0.88375205,3.9701977,131.87331771850586,4.62,0.05656,54770,-0.0034166235,0.004946812,2975000
30000,0.032466773,0.6652449667453766,120,0.10443421306248638,-0.88476443,3.9581058,132.85147833824158,4.88,0.02402,53184,-0.0030785624,0.0031232159,3000000
30250,0.034753043,0.650669664144516,121,0.13540119568628142,-0.87669945,3.9457786,133.9093050956726,5.5,0.03692,52996,-0.0035561523,0.003777076,3025000
30500,0.034485277,0.6551150381565094,122,0.11045047505351249,-0.8771988,3.9328187,134.87452030181885,5.38,0.034644,53828,-0.0032863743,0.003630849,3050000
30750,0.03484336,0.6578260660171509,123,0.10467136149498402,-0.8757301,3.9192033,135.9204659461975,5.4,0.040423997,48034,-0.0032205589,0.004085571,3075000
31000,0.034354795,0.6601488888263702,124,0.07753065074881306,-0.87094647,3.9061484,136.99342942237854,5.36,0.032123998,52978,-0.0033356044,0.0035591908,3100000
31250,0.03507323,0.6580842733383179,125,0.08315693170537998,-0.87383634,3.8930416,137.94631791114807,4.21,0.042888004,54209,-0.003332867,0.0042268387,3125000
