policy_entropy,n_updates,true_reward,approxkl,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean,clipfrac,policy_loss,time_elapsed,explained_variance,total_timesteps,fps
5.0205774,81,0.16908945,0.021108875,20250,0.019767504,10.24,1.730046954723075,0.258,-0.018745545,14.000183343887329,0.8605835288763046,20250,2309
5.0144343,82,0.16987638,0.012191325,20500,0.017669994,10.45,1.769362367093563,0.1644,-0.010740655,14.133184671401978,0.8827822133898735,20500,2315
5.007984,83,0.16907883,0.008466477,20750,0.018912826,10.52,1.7824585270974784,0.126,-0.0068564042,14.264797925949097,0.8793555125594139,20750,2280
5.0013285,84,0.16989097,0.0073388605,21000,0.010848261,10.58,1.7936196475382895,0.08479999,-0.011184803,14.398038625717163,0.9286137595772743,21000,2330
4.9981647,85,0.16908157,0.00969565,21250,0.013306348,10.63,1.802959645073861,0.15080002,-0.011110431,14.529958963394165,0.910682275891304,21250,2322
4.998788,86,0.16988996,0.012000547,21500,0.006277566,10.64,1.8048491994757205,0.14919999,-0.019256193,14.662500858306885,0.9580775573849678,21500,2288
4.9995265,87,0.16988946,0.020323735,21750,0.012613076,10.66,1.808610752467066,0.238,-0.016761137,14.795891284942627,0.9190093576908112,21750,2293
5.000712,88,0.16910452,0.004080124,22000,0.019669985,10.64,1.80492860798724,0.0472,-0.007069747,14.929466962814331,0.874417245388031,22000,2230
5.002233,89,0.16988547,0.006976907,22250,0.008088172,10.66,1.8086569779086858,0.1032,-0.0085058715,15.065734624862671,0.9473526552319527,22250,2217
5.0051603,90,0.16989075,0.010507871,22500,0.00821696,10.74,1.8237011342775076,0.1312,-0.010965554,15.207484483718872,0.9466594532132149,22500,2229
5.005022,91,0.16989034,0.0119463485,22750,0.0110417865,10.75,1.825558659657836,0.16639999,-0.013089048,15.343654870986938,0.9296947792172432,22750,2258
5.0028195,92,0.16908735,0.009813646,23000,0.017496012,10.74,1.8236649462860077,0.1332,-0.013039587,15.478687763214111,0.8853993639349937,23000,2262
4.998375,93,0.16909681,0.010131662,23250,0.010131819,10.63,1.8030580925103277,0.1328,-0.013633668,15.614427089691162,0.93496073782444,23250,2278
4.9963064,94,0.1698907,0.0065506026,23500,0.0061239097,10.64,1.804932600595057,0.0828,-0.007450264,15.74848985671997,0.9559144005179405,23500,2208
4.9957323,95,0.1698924,0.020459846,23750,0.00977823,10.64,1.8049392785318197,0.23920003,-0.017973505,15.885448455810547,0.9360020160675049,23750,2252
4.997065,96,0.16908257,0.011475479,24000,0.013521242,10.55,1.7880180730391293,0.16,-0.013424411,16.02053451538086,0.9104516878724098,24000,2277
4.99768,97,0.1690932,0.011576999,24250,0.011803554,10.62,1.8011793837416916,0.1536,-0.016555902,16.154325008392334,0.9169805496931076,24250,2287
4.9967604,98,0.1690892,0.011409484,24500,0.0073356875,10.52,1.7824260921031236,0.15239999,-0.009850144,16.28713846206665,0.9526208974421024,24500,2195
4.993787,99,0.1691035,0.014520596,24750,0.022129493,10.42,1.7636945554427803,0.1728,-0.012474163,16.42490553855896,0.8507785201072693,24750,2247
4.9920077,100,0.16909052,0.013119089,25000,0.0144764315,10.32,1.7449445034004747,0.19279999,-0.01213482,16.560734510421753,0.9009277299046516,25000,2340
4.991702,101,0.16989253,0.011206865,25250,0.0065849894,10.44,1.7674461834784596,0.1588,-0.0120135825,16.691672801971436,0.9583302736282349,25250,2257
4.9884934,102,0.16989148,0.012990663,25500,0.0084143,10.54,1.7861923663225026,0.17240001,-0.008013019,16.827329635620117,0.9444090686738491,25500,2219
4.982531,103,0.16989383,0.007728167,25750,0.011688625,10.76,1.8274132949765771,0.090399995,-0.009047456,16.964308500289917,0.9206428974866867,25750,2284
4.9761276,104,0.16989325,0.010233452,26000,0.013483186,10.75,1.8255604323931038,0.15400001,-0.01174494,17.097875356674194,0.9159109964966774,26000,1461
4.9724274,105,0.16989017,0.013051811,26250,0.014012826,10.86,1.8461848280671984,0.1652,-0.0065416037,17.293276071548462,0.9126807749271393,26250,2281
4.969708,106,0.16989432,0.014846805,26500,0.0056178784,10.86,1.846190233528614,0.1824,-0.013349419,17.42792296409607,0.9641699716448784,26500,2232
4.971196,107,0.16989635,0.009118125,26750,0.0067283898,10.87,1.8480611498560757,0.116,-0.0106709385,17.564465284347534,0.9561894349753857,26750,2328
4.971327,108,0.16830976,0.015662005,27000,0.025443707,10.65,1.8068540658429264,0.20879999,-0.0125424955,17.69541645050049,0.8381428271532059,27000,1473
4.9701185,109,0.16989444,0.0077877603,27250,0.0012465289,10.65,1.8068652006983756,0.1044,-0.003038751,17.889301776885986,0.9895271630957723,27250,2241
4.96995,110,0.16989572,0.011834545,27500,0.0046926904,10.63,1.8031435960065574,0.1664,-0.011856919,18.025502681732178,0.9707970172166824,27500,2152
