total_timesteps,time_elapsed,fps,value_loss,ep_len_mean,policy_loss,policy_entropy,approxkl,serial_timesteps,explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac
3825000,123.85681772232056,61803,0.36483473,238.54,-0.0015401526,2.9880474,0.0076200003,38250,0.7517786026000977,0.17024319,153,40.845071152299646,0.096296
3850000,124.62091565132141,59619,0.2919116,240.83,-0.0013798338,2.9781003,0.005495996,38500,0.8177174031734467,0.170539,154,41.34421759739518,0.06578399
3875000,125.42924547195435,60218,0.25768933,240.46,-0.0018728817,2.9689753,0.005736715,38750,0.8570847809314728,0.17008768,155,41.2156218983233,0.068264
3900000,126.22876405715942,62317,0.3422565,240.4,-0.001231839,2.960211,0.006636597,39000,0.7784196138381958,0.17094177,156,41.239457719102504,0.078807995
3925000,127.00880002975464,62359,0.32859433,239.67,-0.0020562636,2.954121,0.005557,39250,0.8138301223516464,0.1714033,157,41.50451221555471,0.064308
3950000,127.79180574417114,62017,0.47738752,236.35,-0.0013305026,2.948628,0.006352312,39500,0.7235928177833557,0.16988863,158,40.45086013577878,0.077792
3975000,128.57452964782715,59036,0.24434102,244.02,-0.0025039138,2.9426017,0.006407801,39750,0.7689746022224426,0.17200208,159,42.16389245480299,0.078976
4000000,129.3941867351532,57324,0.20329027,246.09,-0.00083539693,2.9342918,0.007565218,40000,0.8194427788257599,0.17151801,160,42.39626427449286,0.093824
4025000,130.2219443321228,60775,0.23633714,244.27,-0.000946779,2.9266171,0.007866587,40250,0.7536226063966751,0.17246063,161,42.297862749621274,0.100031994
4050000,131.02841305732727,62032,0.17356372,247.7,-0.0018470336,2.9164827,0.0058427164,40500,0.7455516159534454,0.17298147,162,42.938073032647374,0.07217199
4075000,131.81429815292358,60624,0.39023083,231.42,-0.003824545,2.9068785,0.006387192,40750,0.8616884797811508,0.1692571,163,39.84259303532541,0.075408
4100000,132.6013617515564,60294,0.2007508,246.42,0.00020409314,2.9021547,0.007679665,41000,0.6910732388496399,0.17315571,164,42.7529840362072,0.087883994
4125000,133.40059685707092,61232,0.3178488,243.23,0.0013521072,2.893993,0.011422562,41250,0.7113313376903534,0.17180341,165,41.97857606723905,0.13764401
4150000,134.19179010391235,60421,0.25261727,240.05,0.001206355,2.8827994,0.011611463,41500,0.8618783801794052,0.17164278,166,41.5848369795829,0.147708
4175000,134.9763925075531,59308,0.35566598,238.06,-0.0013670838,2.8764281,0.008534993,41750,0.7814879715442657,0.17247339,167,41.394987079277634,0.113391995
4200000,135.78045105934143,60596,0.29177448,241.43,-0.0023884312,2.8695238,0.009463888,42000,0.8472467660903931,0.17129174,168,41.62886032164097,0.123564005
4225000,136.55526399612427,61573,0.17704245,245.96,-0.0034826905,2.8612268,0.0054162126,42250,0.793028935790062,0.17143701,169,42.27278479158878,0.061332006
4250000,137.3406126499176,59713,0.21984105,244.32,-0.0014175185,2.8504403,0.008885035,42500,0.789609745144844,0.17187192,170,42.19787765137851,0.113904
4275000,138.13310146331787,60525,0.35353974,239.44,-0.002926595,2.8419147,0.0056964755,42750,0.7878933697938919,0.17102194,171,41.211268078908326,0.067712
4300000,138.93351125717163,61353,0.3167261,239.68,-9.8703706e-05,2.8326263,0.011638166,43000,0.7731470763683319,0.17168058,172,41.45319011285901,0.143576
4325000,139.71644926071167,61528,0.18934175,244.59,-0.0026846065,2.8220148,0.0064925267,43250,0.872795358300209,0.17127533,173,42.174792256206274,0.080632
4350000,140.4939091205597,61521,0.22047599,243.29,-0.0029686852,2.810653,0.0064948336,43500,0.8880256563425064,0.17118722,174,42.02536875769496,0.079368
