fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
57027,0.041384682,0.7995776,3525000,118.83393049240112,0.079936005,18.845761181127966,-0.0014043378,246.36,0.075429454,35250,0.0064739236,0.9128455445170403,141
55004,0.0021026277,0.7957017,3550000,119.63382744789124,0.056828,19.117577816279955,-0.002121893,250.0,0.076470315,35500,0.005014745,0.9893755130469799,142
58756,0.04841446,0.79017293,3575000,120.45058798789978,0.03754,18.827318225886557,-0.0022615786,246.06,0.07538314,35750,0.0038679652,0.9002768397331238,143
52751,0.031596884,0.78639305,3600000,121.24029731750488,0.07174,18.90309107268576,-0.0020668248,247.72,0.07576111,36000,0.005894112,0.9222107380628586,144
56656,0.0017347576,0.7841729,3625000,122.07975363731384,0.06914,19.12842958442824,0.00013008023,250.0,0.07651372,36250,0.0056298776,0.9910407289862633,145
57652,0.0018974273,0.7797969,3650000,122.88942337036133,0.088148,18.99728752376971,-0.00024971148,250.0,0.07598915,36500,0.0066273278,0.9908892745152116,146
53128,0.0011369891,0.7731659,3675000,123.70583462715149,0.038268,18.996390286556053,-0.0018209808,250.0,0.075985566,36750,0.0040232427,0.9940784811042249,147
58907,0.0012954144,0.76386786,3700000,124.57122325897217,0.066856004,19.271946363310906,-0.0010290637,250.0,0.07708778,37000,0.0056445384,0.9928542780689895,148
58110,0.028901765,0.7559364,3725000,125.36541867256165,0.07276,19.039777059574764,-0.0018404454,247.7,0.076306075,37250,0.005888564,0.9213871210813522,149
59020,0.0017291394,0.74791527,3750000,126.15189003944397,0.026696002,19.116773709728694,-0.0026101165,250.0,0.0764671,37500,0.0032082568,0.9905265038833022,150
57885,0.0011683143,0.7348358,3775000,126.96484613418579,0.040976,19.467360065377143,-0.0019530796,250.0,0.077869445,37750,0.0042434223,0.9923531012609601,151
57562,0.025504341,0.7230136,3800000,127.73946452140808,0.08552001,18.988415996166786,-0.0031569663,247.69,0.076116286,38000,0.0072126267,0.9167466387152672,152
