fps,value_loss,policy_entropy,total_timesteps,n_updates,true_reward,clipfrac,serial_timesteps,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,approxkl,explained_variance
58344,0.15925057,5.0191927,3350000,134,-0.031785898,0.097184,33500,1.3173614861448004,-8.34246e-05,25.67,119.53374028205872,0.008621534,0.7834047675132751
58212,0.14745143,5.0115156,3375000,135,-0.032468725,0.111435995,33750,1.1226575310512272,0.00027762185,22.93,120.38084936141968,0.009792415,0.8045554757118225
57377,0.14891951,4.998341,3400000,136,-0.031250153,0.11665599,34000,1.2017885734859646,0.0008367177,23.82,121.24773097038269,0.009241239,0.7987909913063049
57200,0.14941412,4.988885,3425000,137,-0.032216597,0.215336,34250,1.3708123276501647,0.008444395,26.71,122.1359601020813,0.024404805,0.8085716813802719
57851,0.16803782,4.9858255,3450000,138,-0.029005153,0.32554,34500,1.4481996663587415,0.023166535,29.08,123.01699185371399,0.059170205,0.8056625574827194
57624,0.15438634,4.9844074,3475000,139,-0.03025268,0.08506,34750,1.2982279689245388,-0.00034480798,24.5,123.87545800209045,0.0074391207,0.7941967993974686
58399,0.17861627,4.9757657,3500000,140,-0.03017346,0.107796,35000,1.239091464709345,0.0004808396,23.07,124.73446774482727,0.009509807,0.79261314868927
58733,0.15878132,4.9691873,3525000,141,-0.030971522,0.095392,35250,1.1540188975552836,-0.00081069616,22.81,125.59598684310913,0.0075543397,0.7953046709299088
57820,0.14597948,4.9642916,3550000,142,-0.0301814,0.14922,35500,1.4063538756915295,0.0032178485,27.24,126.44467329978943,0.01345961,0.7995087802410126
57981,0.14672868,4.956291,3575000,143,-0.030015128,0.12813601,35750,1.2129543781186658,0.00019790456,24.08,127.31324100494385,0.011061113,0.7973327934741974
58953,0.14281449,4.947587,3600000,144,-0.030170167,0.174772,36000,1.2774054286420642,0.005945977,25.71,128.1715476512909,0.020544678,0.8039814084768295
58657,0.14067832,4.938197,3625000,145,-0.029580679,0.13584,36250,1.2687556427455637,0.0026571578,25.83,129.03218126296997,0.011994252,0.8050778657197952
58399,0.14439446,4.927351,3650000,146,-0.029166194,0.11359601,36500,1.3135165796081127,0.00054657576,26.46,129.88448786735535,0.01124339,0.80728380382061
58940,0.1495817,4.915886,3675000,147,-0.030180598,0.19250001,36750,1.2055405873872223,0.007807307,24.47,130.73995184898376,0.045641758,0.7993841618299484
52339,0.14908062,4.908393,3700000,148,-0.031202521,0.23926802,37000,1.2887017412876594,0.012685622,24.93,131.5837323665619,0.030020077,0.8068736046552658
59166,0.15056732,4.904347,3725000,149,-0.029360909,0.14163199,37250,1.3693043007513552,0.002638167,24.81,132.5061433315277,0.011770087,0.8061421364545822
58094,0.15252908,4.9014473,3750000,150,-0.02874686,0.143492,37500,1.2422278922609984,0.0031710498,23.73,133.3444995880127,0.013443182,0.7990701645612717
58845,0.15384233,4.8981767,3775000,151,-0.029189264,0.155264,37750,1.396817361818803,0.0050893826,27.31,134.20066952705383,0.058222096,0.7992334216833115
59399,0.15964417,4.8934555,3800000,152,-0.02771272,0.16992,38000,1.4322302631132333,0.005264587,26.26,135.05362963676453,0.028917197,0.7943060994148254
59079,0.15103947,4.8905487,3825000,153,-0.030808633,0.129636,38250,1.1743267882999817,0.0036874488,22.48,135.90023279190063,0.015652468,0.7942415326833725
57627,0.15078947,4.8866,3850000,154,-0.02955968,0.145804,38500,1.3277793164021388,0.0029957131,25.7,136.76256942749023,0.018067356,0.7974660992622375
59023,0.14902076,4.8782496,3875000,155,-0.027344104,0.11757599,38750,1.312548035411819,0.0017243667,25.56,137.61647939682007,0.013527246,0.8084287643432617
57330,0.15971413,4.869523,3900000,156,-0.02942883,0.145004,39000,1.3278858846845105,0.0025723292,24.15,138.46902346611023,0.014107356,0.7909189462661743
58796,0.1612403,4.862126,3925000,157,-0.028203556,0.13269201,39250,1.2231396962960206,0.0009691731,22.97,139.32835245132446,0.012277011,0.7984621524810791
58649,0.15167715,4.852696,3950000,158,-0.027288161,0.12756398,39500,1.3642910310340448,0.00074208557,27.83,140.1831817626953,0.01199162,0.7949436753988266
58422,0.15362522,4.8423524,3975000,159,-0.025541918,0.15694001,39750,1.3931011092886547,0.0019347535,27.07,141.0420389175415,0.01371629,0.8008698374032974
59129,0.16886677,4.83348,4000000,160,-0.027929965,0.14236799,40000,1.3024448278557974,0.0029291608,24.78,141.90304732322693,0.012037342,0.7939429134130478
57837,0.15182966,4.825456,4025000,161,-0.027324678,0.217208,40250,1.34913732387271,0.008089697,25.27,142.75450086593628,0.019171108,0.8024443686008453
58936,0.159431,4.8205633,4050000,162,-0.025113808,0.18437201,40500,1.4904929952850217,0.0070858733,25.15,143.62372422218323,0.01602453,0.8063404858112335
58943,0.16287038,4.81797,4075000,163,-0.025479607,0.16411999,40750,1.4665484975935215,0.006356704,25.8,144.47511625289917,0.01549674,0.7945816814899445
58657,0.16861473,4.8147683,4100000,164,-0.023822842,0.15470001,41000,1.3775399137516433,0.0041561103,26.15,145.32304191589355,0.013480291,0.7909292429685593
58956,0.15861788,4.811061,4125000,165,-0.024212627,0.081396006,41250,1.5459440438472667,0.0016560338,26.02,146.16235876083374,0.007086032,0.7828469425439835
59048,0.15202251,4.806359,4150000,166,-0.023666253,0.058296002,41500,1.326596205762362,-0.0016015464,24.62,147.01055717468262,0.005507017,0.7913580983877182
57607,0.14391702,4.7977386,4175000,167,-0.024838958,0.075212,41750,1.3184425079116773,-0.0017227607,26.47,147.8492522239685,0.0066612707,0.7852034121751785
57293,0.16233191,4.783299,4200000,168,-0.023323206,0.18771599,42000,1.3011842235226505,0.006563439,24.44,148.71125078201294,0.022229325,0.7976018190383911
58387,0.14992256,4.772729,4225000,169,-0.022154372,0.163388,42250,1.6200104799495239,0.004847235,29.07,149.57456302642822,0.01950585,0.7947293668985367
59180,0.15184344,4.7649508,4250000,170,-0.022565817,0.104792,42500,1.4613000757347983,-0.00092639506,28.26,150.42093682289124,0.009251238,0.7970489114522934
58515,0.16934761,4.757636,4275000,171,-0.021499485,0.145216,42750,1.3948533216308716,0.0016651141,25.31,151.27256751060486,0.013983007,0.795092910528183
58516,0.18107054,4.7527614,4300000,172,-0.02088019,0.179028,43000,1.257730220068188,0.0045174533,22.48,152.12727332115173,0.01541312,0.7968076020479202
58036,0.1824903,4.7495646,4325000,173,-0.019387534,0.06696401,43250,1.3955519497802789,-0.0014558124,25.91,152.99208521842957,0.006328824,0.7818218320608139
58706,0.17704794,4.743949,4350000,174,-0.020423926,0.107964,43500,1.4275075622516715,-0.0013678294,25.68,153.8697681427002,0.008745162,0.7906389087438583
55917,0.16813625,4.7333517,4375000,175,-0.018723197,0.1117,43750,1.5924792626708222,-0.0001101685,29.05,154.74184322357178,0.008861882,0.7979722023010254
