serial_timesteps,true_reward,value_loss,ep_reward_mean,explained_variance,approxkl,ep_len_mean,policy_entropy,policy_loss,total_timesteps,time_elapsed,n_updates,fps,clipfrac
33000,-0.02370731,0.12918973,1.7543625176570208,0.9654921852052212,0.0035276785,79.38,5.042447,-0.0021937857,3300000,125.238028049469,132,57368,0.035184
33250,-0.020925285,0.1313522,1.8100163592123408,0.9620393514633179,0.0025673597,88.91,5.038979,-0.0018728301,3325000,126.06224083900452,133,55452,0.023884002
33500,-0.020209324,0.13027908,1.9569819806034139,0.9648807942867279,0.0028512354,81.08,5.030961,-0.0020709676,3350000,126.93343758583069,134,54703,0.025467997
33750,-0.019540066,0.13147192,2.067418361952923,0.9644455686211586,0.002616961,91.69,5.0212674,-0.0018805135,3375000,127.83018159866333,135,54099,0.023624
34000,-0.02209979,0.14020783,1.7212351813327769,0.9636645428836346,0.0036036796,81.42,5.016991,-0.0025033974,3400000,128.7088234424591,136,55222,0.032980002
34250,-0.017108168,0.12055399,2.035108232681341,0.9667586907744408,0.0029185605,93.25,5.0114393,-0.0020218457,3425000,129.57525086402893,137,57186,0.025231998
34500,-0.019902494,0.116744556,1.7352408778829271,0.9690214823931456,0.0028661827,83.15,5.000825,-0.002095385,3450000,130.42864561080933,138,56429,0.025727998
34750,-0.021572933,0.14919636,1.8994999847393592,0.959577638655901,0.003854523,88.33,4.9915633,-0.002279717,3475000,131.28119659423828,139,57129,0.039812002
35000,-0.020721126,0.14373393,1.919318053636889,0.9602982737123966,0.0022528018,83.29,4.9884405,-0.0017268106,3500000,132.1169409751892,140,53866,0.019059999
35250,-0.019701922,0.12919262,1.8435157064214582,0.9623341523110867,0.003058413,88.97,4.9828725,-0.0018896749,3525000,132.98886585235596,141,52000,0.025620002
35500,-0.018624557,0.13358733,2.13306322895261,0.9644057899713516,0.0025521587,90.08,4.974584,-0.0014615204,3550000,133.88045072555542,142,54493,0.018687999
35750,-0.021312237,0.12407788,1.770334212902144,0.9678337462246418,0.0031390681,82.43,4.9726934,-0.0020779404,3575000,134.7522509098053,143,54380,0.033019997
36000,-0.017063022,0.14607775,2.0446860310017962,0.9565586820244789,0.0029876265,98.75,4.97173,-0.0020803795,3600000,135.62990951538086,144,49434,0.025780002
36250,-0.020337956,0.14381868,1.7858880515447162,0.9625409319996834,0.0034909695,83.15,4.9667673,-0.0025374605,3625000,136.5573091506958,145,56847,0.033956
36500,-0.02109786,0.14189403,1.6330963635172953,0.9609741382300854,0.0031126975,84.39,4.9586782,-0.0020233297,3650000,137.4018235206604,146,55522,0.027983999
36750,-0.01852375,0.11184869,2.0575922785267675,0.9698974210768938,0.0034624054,95.48,4.9498763,-0.0021904248,3675000,138.26019740104675,147,56788,0.033060003
37000,-0.020025803,0.10840462,2.0614802808458355,0.9712559711188078,0.0032758068,93.29,4.941021,-0.0020773062,3700000,139.10721039772034,148,55648,0.031616
37250,-0.018862741,0.13075192,1.7867747199128825,0.9627336747944355,0.0036457453,85.95,4.9295444,-0.0024474515,3725000,139.98185110092163,149,56008,0.037972
37500,-0.018249115,0.12919436,1.735280361256241,0.9665059484541416,0.002801328,82.04,4.9198513,-0.0021833424,3750000,140.83307337760925,150,56091,0.023852
37750,-0.019545792,0.16150959,1.949359343809774,0.9579062014818192,0.0033752497,86.91,4.9141197,-0.0022633271,3775000,141.69071984291077,151,55231,0.03314
38000,-0.016102359,0.16746613,2.083590613894312,0.9536242336034775,0.0027824885,91.92,4.909621,-0.0018427378,3800000,142.54531979560852,152,55742,0.02436
38250,-0.019148903,0.14199272,2.0323197520599208,0.962660264223814,0.0033629113,90.4,4.906635,-0.0019795515,3825000,143.41372418403625,153,55066,0.031252004
38500,-0.018047867,0.12656465,1.801050838548199,0.9678064100444317,0.0032820154,81.53,4.90512,-0.0023919106,3850000,144.2793595790863,154,53446,0.030363997
38750,-0.015181742,0.13394788,2.0210807767220174,0.9633995369076729,0.0036433574,92.72,4.903827,-0.0027705412,3875000,145.1513636112213,155,54112,0.035359997
39000,-0.018199824,0.12888876,1.869707299739548,0.9665105827152729,0.0033376787,88.28,4.902623,-0.0023012853,3900000,146.0180687904358,156,53233,0.032608
39250,-0.018868295,0.13547245,1.987617850148722,0.9662265479564667,0.004199233,86.7,4.902438,-0.0021960451,3925000,146.89322471618652,157,56072,0.047464002
39500,-0.01782078,0.15372805,2.0970921558941042,0.959148395806551,0.0031648441,96.93,4.8965216,-0.0018146571,3950000,147.76006531715393,158,53369,0.027816001
39750,-0.015689798,0.11939083,2.003974983380999,0.9694552347064018,0.002951933,87.79,4.892953,-0.0018567331,3975000,148.62823843955994,159,56899,0.024392
40000,-0.018314775,0.15098688,2.049258868490756,0.959826122969389,0.0030814358,89.62,4.8926497,-0.0020201458,4000000,149.4715383052826,160,56352,0.026436001
40250,-0.018647678,0.14996108,2.080081016129947,0.9627757593989372,0.0044711092,93.83,4.8901167,-0.0024077697,4025000,150.32222270965576,161,52900,0.05062
40500,-0.017642094,0.11272888,1.90294358786432,0.9699786622077227,0.003722397,89.98,4.881117,-0.0024677985,4050000,151.19988894462585,162,57454,0.033579998
40750,-0.015288989,0.09390001,2.171566823059731,0.9755190890282393,0.0031783439,97.72,4.870136,-0.0029504425,4075000,152.02909541130066,163,57452,0.032371998
41000,-0.018454455,0.122604646,1.7591807279034037,0.9675646722316742,0.003357534,86.8,4.8629127,-0.0021686426,4100000,152.8601837158203,164,55535,0.029832
41250,-0.016772762,0.14100866,1.9084566525251012,0.9648567624390125,0.003275179,88.84,4.854865,-0.002370346,4125000,153.70779395103455,165,56572,0.029159999
41500,-0.012776706,0.12767118,2.170638892460338,0.967168964445591,0.002892593,101.2,4.85148,-0.0014038741,4150000,154.54798793792725,166,55746,0.023739997
41750,-0.0110187745,0.105339095,2.1561421633381177,0.9733947943896055,0.0027976078,97.14,4.850876,-0.0019708471,4175000,155.3998064994812,167,56375,0.024936002
42000,-0.017474506,0.13755651,1.8930782855231154,0.9664898589253426,0.0031892061,82.23,4.8536773,-0.0025136909,4200000,156.26783800125122,168,56822,0.029764002
42250,-0.011555127,0.12102356,2.2422319882001647,0.9682856798171997,0.0035870937,100.07,4.8508306,-0.002542209,4225000,157.1023850440979,169,54073,0.037539996
