policy_loss,explained_variance,time_elapsed,ep_reward_mean,fps,serial_timesteps,total_timesteps,approxkl,ep_len_mean,value_loss,n_updates,clipfrac,true_reward,policy_entropy
-0.0018494489,0.9033492803573608,278.8362092971802,16.436858308694063,65900,87750,8775000,0.005911206,246.82,0.014600627,351,0.072652005,0.066550896,2.9171395
-0.00136006,0.7497211396694183,279.632470369339,16.334615985504353,60773,88000,8800000,0.0057934383,242.81,0.04513993,352,0.074276,0.06716874,2.912952
-0.002009172,0.7791413962841034,280.4417507648468,15.678803138214862,67856,88250,8825000,0.0066035576,236.17,0.058558833,353,0.086112,0.06619567,2.9084706
-0.0017973107,0.8688267469406128,281.1858036518097,15.980802495721727,64066,88500,8850000,0.0068135983,239.78,0.033618156,354,0.08685599,0.06655781,2.9037175
-0.0017661026,0.9157423302531242,281.9408767223358,16.830211574490313,68581,88750,8875000,0.004861735,248.86,0.012054572,355,0.055636,0.0676155,2.8978286
-0.0022208109,0.8515760004520416,282.6975655555725,16.52151109254395,66807,89000,8900000,0.0085682785,245.24,0.025208851,356,0.11445199,0.067292795,2.8908515
-0.0016770192,0.8419402986764908,283.4393184185028,16.4965617511265,64239,89250,8925000,0.0055348743,243.83,0.024424778,357,0.067788,0.06761018,2.8883023
-0.0014606173,0.7619790434837341,284.2221326828003,16.535413646649687,67458,89500,8950000,0.006349256,243.39,0.040834226,358,0.0831,0.06785561,2.8857698
-0.0023013698,0.7534789144992828,284.9914631843567,16.33586928738223,66137,89750,8975000,0.006458963,241.26,0.060582627,359,0.078524,0.06739882,2.881318
-0.0016807264,0.9381824135780334,285.73688292503357,16.769283767424056,67179,90000,9000000,0.0060381363,247.06,0.013006392,360,0.076048,0.06778829,2.8808587
-0.002078911,0.9063208103179932,286.5015411376953,16.83111820256745,65483,90250,9025000,0.0065340227,247.9,0.015073878,361,0.081864,0.06784151,2.8799772
-0.0023747198,0.7214657366275787,287.26980566978455,16.075639111776837,66447,90500,9050000,0.007855481,236.15,0.06767526,362,0.10602399,0.0676762,2.8794534
-0.0012951707,0.7757260203361511,288.0265996456146,16.360791813458054,68142,90750,9075000,0.0066429353,243.04,0.046879616,363,0.085616,0.067201994,2.8817356
-0.001934723,0.7229358851909637,288.7606010437012,16.38746952749847,68811,91000,9100000,0.0070774937,242.12,0.06505048,364,0.093412004,0.06729675,2.884419
-0.0015824251,0.8871151804924011,289.49916887283325,16.795869425158454,68635,91250,9125000,0.0048198057,247.02,0.018147457,365,0.054996002,0.06792215,2.8863993
-0.0016341045,0.8136229813098907,290.2306227684021,16.59728741719984,63245,91500,9150000,0.0069297575,245.71,0.03573232,366,0.091244,0.06735766,2.8854902
-0.0019094975,0.8402272760868073,291.00238847732544,16.373827862757025,67036,91750,9175000,0.005994429,241.34,0.04831671,367,0.076327994,0.06760274,2.8846319
-0.0017161925,0.7968850433826447,291.7513029575348,16.044237009644856,66797,92000,9200000,0.0056944303,239.89,0.048046302,368,0.070296004,0.06676447,2.8826833
-0.0014451484,0.8723423928022385,292.5165615081787,16.443229215233004,68628,92250,9225000,0.005826085,242.76,0.025142062,369,0.07186801,0.067619994,2.883056
-0.001462292,0.8160199820995331,293.2547447681427,16.48515919697966,69755,92500,9250000,0.008637212,242.62,0.03970647,370,0.118212,0.06769778,2.8812802
-0.0012725618,0.7179541289806366,293.98894691467285,15.883218443617771,69736,92750,9275000,0.0062909983,233.45,0.08007619,371,0.077924,0.06783389,2.8799357
-0.00103135,0.8021174073219299,294.7178416252136,16.239797089369677,68074,93000,9300000,0.008461757,239.63,0.055004083,372,0.111379996,0.06730385,2.8786278
