serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
17250,0.9291878789663315,63.19092392921448,-0.0018465886,0.021680001,0.02704582,0.28023856274822945,54.19,0.0027354148,5.3583317,0.00255201,1725000,69,62395
17500,0.9339213594794273,64.02671790122986,-0.0018035199,0.015852,0.023957677,0.1638447115634554,58.4,0.0010255233,5.350644,0.002214625,1750000,70,63124
17750,0.9430483467876911,64.8539834022522,-0.002137353,0.021488,0.022689234,0.038436902090149376,55.82,0.00012891072,5.3409157,0.0026198104,1775000,71,61655
18000,0.9327931925654411,65.68382787704468,-0.0025663706,0.034780003,0.024848705,0.04382862280169462,45.42,0.0009661857,5.3315973,0.0036073676,1800000,72,61566
18250,0.9344174191355705,66.52584505081177,-0.0011996708,0.009571999,0.023004483,0.029878207987823088,55.01,0.0004792498,5.3249807,0.0018109443,1825000,73,62539
18500,0.9279202669858932,67.35618114471436,-0.0016618844,0.015012001,0.025931126,0.13120124265005415,58.68,0.00043541274,5.3202186,0.0020461418,1850000,74,61541
18750,0.9275477975606918,68.18161273002625,-0.0015053799,0.016344002,0.02437626,0.030852963215295404,54.18,0.0010824855,5.3153954,0.0022652657,1875000,75,61579
19000,0.9240181222558022,68.99425768852234,-0.0019638052,0.026703998,0.027608573,0.07833418821256032,57.79,0.0016660988,5.313428,0.002804779,1900000,76,63006
19250,0.9342023357748985,69.81445908546448,-0.0019526074,0.012932001,0.024766345,0.0734080081279535,57.13,0.0020717147,5.3104563,0.0018575821,1925000,77,62412
19500,0.9384334944188595,70.66492199897766,-0.0015351034,0.013320001,0.020361869,0.07024576420452774,57.63,0.000947185,5.3080654,0.0020955338,1950000,78,61852
19750,0.9406099244952202,71.49932742118835,-0.0021235324,0.021823999,0.021937652,0.2249056686384142,63.62,0.0016659949,5.3030205,0.0026037556,1975000,79,62202
20000,0.933625303208828,72.31755495071411,-0.002184029,0.025204,0.018872105,0.11016819701648956,62.21,0.0016926952,5.2951355,0.00289935,2000000,80,62225
20250,0.9333911910653114,73.13593220710754,-0.0017824915,0.016123999,0.024139114,0.2608441657705032,63.61,0.003162297,5.2899394,0.0022191708,2025000,81,62958
20500,0.9321463108062744,73.94636821746826,-0.0019636604,0.024267998,0.024177935,0.11964835199940921,59.52,0.0040601394,5.2880697,0.0029039434,2050000,82,63108
20750,0.9183366373181343,74.76675581932068,-0.0019511698,0.015079999,0.025717508,-0.04955511273374668,58.68,5.8226033e-05,5.284297,0.002026944,2075000,83,61470
21000,0.9233983755111694,75.59808921813965,-0.00201352,0.026468,0.02381362,0.21765372724228427,65.49,0.0022454807,5.279196,0.0030373838,2100000,84,59643
21250,0.9174616113305092,76.44131803512573,-0.0027171106,0.026535999,0.031829085,0.14747344921790728,61.17,0.0007379113,5.2733297,0.0030775,2125000,85,63031
21500,0.9411803930997849,77.26677060127258,-0.002007984,0.01836,0.021562498,0.09035720515363437,61.68,0.0024322066,5.2677264,0.0022989316,2150000,86,62449
21750,0.9419396407902241,78.0875837802887,-0.0016004449,0.0149759995,0.019952247,0.13975714059468372,59.19,0.0025174706,5.262437,0.0021913692,2175000,87,61870
22000,0.9370003491640091,78.94268918037415,-0.0020884739,0.022576,0.02189522,0.1195117364318412,62.22,0.0020055529,5.2580657,0.002573965,2200000,88,57758
22250,0.9297696948051453,79.82020473480225,-0.0025285224,0.025856,0.022350896,0.11043036399527181,60.39,-4.9664603e-05,5.253918,0.0027807506,2225000,89,59297
22500,0.9096134454011917,80.67282438278198,-0.002367379,0.023640001,0.03171616,0.17196276796743176,55.98,0.0015753421,5.2498603,0.002780546,2250000,90,60475
22750,0.9265211373567581,81.5150318145752,-0.001953591,0.025891999,0.025552824,0.07920693446429482,61.08,0.0013675244,5.241351,0.002722536,2275000,91,62796
23000,0.9411486461758614,82.3574001789093,-0.002349114,0.026916001,0.023975186,0.027186817599475718,56.77,0.0019487353,5.233285,0.0029568877,2300000,92,61354
23250,0.9417569190263748,83.1728367805481,-0.0021308817,0.019996,0.021138791,0.07335605948120247,65.57,0.00049665506,5.227374,0.0024484,2325000,93,61785
23500,0.9233230501413345,84.00174260139465,-0.0017336251,0.021988,0.03064425,-0.07207847286193783,61.95,0.0022647635,5.220303,0.0025650288,2350000,94,63492
23750,0.9467947781085968,84.81693458557129,-0.0020893463,0.021636,0.0201128,0.20272117131934578,65.71,0.0032123392,5.2107024,0.0026182919,2375000,95,61399
24000,0.929241381585598,85.63911652565002,-0.0025484716,0.023264,0.02421682,0.14445848652578433,60.42,0.0011317636,5.203632,0.0027187138,2400000,96,58712
24250,0.941767729818821,86.51261138916016,-0.002694463,0.032604,0.023349695,0.16523061662113378,57.9,0.002589199,5.202181,0.0033877057,2425000,97,62259
24500,0.940469428896904,87.33488583564758,-0.002151406,0.028032,0.022194289,0.037903279697789005,59.28,0.0021561962,5.199862,0.0030618361,2450000,98,61938
24750,0.9427298046648502,88.15917754173279,-0.0019655298,0.019199999,0.023586364,0.1893833999325034,66.17,0.0028350665,5.196436,0.002385239,2475000,99,62164
25000,0.9411209933459759,88.9687066078186,-0.0017000267,0.012268001,0.020096786,0.08024767311287391,56.56,0.0012039283,5.1898694,0.001968974,2500000,100,60703
25250,0.9301106855273247,89.78232312202454,-0.0019332021,0.020068001,0.02377402,0.12071428345705726,61.29,0.0022713863,5.1875834,0.002622411,2525000,101,59079
25500,0.9480489529669285,90.61136555671692,-0.0021104426,0.019084001,0.019543732,0.14916740824610003,58.38,0.003565619,5.1885695,0.002603722,2550000,102,58873
25750,0.9325057193636894,91.44370245933533,-0.0023901989,0.023803998,0.021773513,0.03556166472819768,61.65,0.0029026081,5.1878023,0.0028256075,2575000,103,58849
26000,0.9479312002658844,92.28202366828918,-0.0022760623,0.015676,0.019805921,0.14374284484028066,61.78,0.0022815615,5.1795793,0.0021666083,2600000,104,60652
26250,0.9466696418821812,93.10660719871521,-0.0014007427,0.014756,0.021610405,0.15714264011567763,58.95,0.0024508599,5.170478,0.0022211669,2625000,105,62220
26500,0.9345141276717186,93.93437600135803,-0.0020081117,0.013971999,0.021049386,0.1393610905679725,55.34,0.0027128211,5.1622286,0.002030515,2650000,106,58949
26750,0.9412122815847397,94.77608108520508,-0.0017793498,0.024976002,0.020551039,0.36147567006778675,64.45,0.0036666903,5.1546826,0.0028167628,2675000,107,61506
27000,0.9489263966679573,95.59780621528625,-0.0020395503,0.022636,0.019108586,0.13212521245391884,57.54,0.003721412,5.148055,0.0027348571,2700000,108,62370
27250,0.9533528052270412,96.40640377998352,-0.0018733261,0.017616,0.018253926,0.2077951396562321,55.85,0.0035105506,5.1411223,0.0023485678,2725000,109,62853
27500,0.9463665634393692,97.2388927936554,-0.002274645,0.027884,0.022372913,0.28062707713011265,61.34,0.004362215,5.1346326,0.0031546447,2750000,110,56908
27750,0.9594649262726307,98.10047006607056,-0.0018931672,0.017712,0.019516708,0.2524853615711149,69.85,0.0034211744,5.1262984,0.0020934236,2775000,111,61023
28000,0.9465833380818367,98.93064641952515,-0.0019314528,0.022404,0.022498088,-0.0006014630971390033,65.57,0.0029905124,5.1201115,0.002740753,2800000,112,62435
28250,0.9486715979874134,99.74480056762695,-0.0024464552,0.02828,0.022168282,0.20244855542032839,57.14,0.0039007193,5.114522,0.0031065077,2825000,113,62188
