policy_entropy,clipfrac,serial_timesteps,policy_loss,n_updates,time_elapsed,fps,true_reward,total_timesteps,explained_variance,approxkl,value_loss,ep_reward_mean,ep_len_mean
5.006585,0.042176,33250,-0.0021049243,133,126.67781472206116,51368,0.029250538,3325000,0.9484059847891331,0.0038894243,0.031750076,1.9226133063146882,70.21
4.9963574,0.027199998,33500,-0.0022813305,134,127.60382747650146,49888,0.029049817,3350000,0.9570418447256088,0.003155664,0.028116668,2.2453140086115493,79.86
4.9868345,0.01754,33750,-0.001538289,135,128.58560872077942,54256,0.028550908,3375000,0.9647593013942242,0.0022792576,0.021449476,2.2366698220978467,83.91
4.9821386,0.029772002,34000,-0.0020514044,136,129.4950783252716,55955,0.02982558,3400000,0.9601840116083622,0.0032116505,0.023495356,1.9903744003319388,76.96
4.977042,0.028828,34250,-0.0019762784,137,130.37636923789978,55492,0.028929774,3425000,0.967921607196331,0.0031850033,0.0214733,2.0126475739001397,76.09
4.972197,0.031904,34500,-0.002645575,138,131.2762634754181,55315,0.02971268,3450000,0.9651214145123959,0.0034245974,0.023442492,2.083217379864582,75.28
4.964399,0.021195998,34750,-0.0014063943,139,132.2123303413391,51955,0.028570306,3475000,0.9601732343435287,0.0027193953,0.023086226,1.8789959855777578,73.29
4.9563675,0.026028002,35000,-0.0017106298,140,133.13740396499634,56642,0.029321624,3500000,0.9553976692259312,0.0029993453,0.026187772,2.118138759544304,80.12
4.9476066,0.019456,35250,-0.0017886016,141,134.0095283985138,54510,0.03132257,3525000,0.9511567577719688,0.002500812,0.02725122,2.0307715064784317,77.21
4.939434,0.027376,35500,-0.0019096419,142,134.91636538505554,54008,0.030369604,3550000,0.9536612592637539,0.0030839306,0.025937054,2.241418388022207,87.88
4.9311666,0.022456,35750,-0.0016906463,143,135.81806826591492,53739,0.03206037,3575000,0.963020347058773,0.0027989,0.021923091,2.246222262916648,79.08
4.9225435,0.031100001,36000,-0.0020136558,144,136.72316455841064,50812,0.030798273,3600000,0.9528557471930981,0.0034740258,0.02787269,2.195790538869787,83.31
4.91592,0.034504,36250,-0.0020553006,145,137.68608856201172,53465,0.029192483,3625000,0.9555525369942188,0.0036121558,0.027600225,1.7991143826839835,72.64
4.9115553,0.039967995,36500,-0.0024695615,146,138.60473489761353,55135,0.029289495,3650000,0.9476162977516651,0.0038584522,0.030518666,2.0950656805451944,78.52
4.9059186,0.028616,36750,-0.0017451907,147,139.52145099639893,52188,0.0315328,3675000,0.9630474224686623,0.0032167702,0.02327415,2.3361846861459754,85.41
4.899522,0.036368,37000,-0.0023118686,148,140.44654989242554,54409,0.030400919,3700000,0.9609222263097763,0.0037465259,0.024465667,1.997436500100266,73.91
4.894669,0.021647999,37250,-0.0019114703,149,141.35184526443481,53348,0.032423366,3725000,0.9599999934434891,0.0027591635,0.022429736,2.4166080469999542,83.24
4.8916445,0.025948,37500,-0.0017252637,150,142.2925386428833,54659,0.032901205,3750000,0.9560925662517548,0.0029332163,0.028185818,2.2323959559837387,79.29
4.8862276,0.022888001,37750,-0.0017414469,151,143.20240306854248,54215,0.031444486,3775000,0.9536523744463921,0.0028574136,0.029403612,2.3447871038268384,81.24
4.8787293,0.033400003,38000,-0.00145184,152,144.10562324523926,51553,0.031240446,3800000,0.923911489546299,0.0035901342,0.046063505,2.012943557797744,76.94
4.8705087,0.026648,38250,-0.0018778531,153,145.03539609909058,52276,0.031893007,3825000,0.9525607265532017,0.0032295696,0.026029075,2.4645492295505393,86.81
4.8618155,0.031147996,38500,-0.0017814509,154,145.94122767448425,54387,0.03125408,3850000,0.9589368775486946,0.0035129257,0.02526165,2.0977011928674436,83.38
4.854387,0.037084,38750,-0.002339931,155,146.84331512451172,54576,0.030612497,3875000,0.9598839059472084,0.00383268,0.024069786,2.2836873279710197,86.74
4.8501487,0.026363999,39000,-0.0017402995,156,147.73678636550903,52195,0.033300683,3900000,0.9646496474742889,0.0030875262,0.022349251,2.0779006401569857,78.92
4.84389,0.026011998,39250,-0.0016729047,157,148.64599895477295,54073,0.030735703,3925000,0.9702101182192564,0.0030051956,0.019371228,2.102556500647328,82.82
4.8366165,0.028940002,39500,-0.0022206039,158,149.54417848587036,54036,0.029758848,3950000,0.9660386964678764,0.0031453283,0.021830438,1.928039128282835,77.94
4.8310266,0.028368002,39750,-0.0020703436,159,150.42345190048218,55628,0.0316346,3975000,0.9616368524730206,0.0030141948,0.021872662,2.282006243007909,83.82
4.8272,0.029463997,40000,-0.002179384,160,151.32039380073547,53446,0.03158357,4000000,0.9584994874894619,0.0031718514,0.025327146,2.50065651523896,90.45
4.821349,0.042688,40250,-0.002582376,161,152.32479238510132,36493,0.031657986,4025000,0.9572407305240631,0.003909616,0.025740022,2.0480381377654338,78.5
4.815928,0.012284,40500,-0.0014717004,162,153.48184847831726,50953,0.032247026,4050000,0.9709799829870462,0.0019721154,0.017872479,2.394756704766014,88.75
