value_loss,ep_reward_mean,true_reward,clipfrac,total_timesteps,time_elapsed,policy_loss,ep_len_mean,serial_timesteps,policy_entropy,approxkl,explained_variance,n_updates,fps
2.062936,30.666896095275877,0.17190586,0.158884,13650000,492.7200753688812,0.0037542093,161.17,136500,3.871305,0.014250743,0.8604050427675247,546,52383
3.0349793,22.17700658723712,0.17124072,0.19031599,13675000,493.5819272994995,0.007344418,116.45,136750,3.8696892,0.01872929,0.8004191070795059,547,54303
3.6386914,17.608171090632677,0.16687997,0.049811997,13700000,494.4252290725708,-0.0012612247,92.57,137000,3.8683724,0.004925587,0.7777886241674423,548,52493
3.113996,23.11850201010704,0.16978744,0.142892,13725000,495.2752776145935,0.002699866,121.4,137250,3.867231,0.011974203,0.7911803424358368,549,52062
3.683025,15.428238760083914,0.16863857,0.31564802,13750000,496.1404240131378,0.02049864,81.13,137500,3.86619,0.042390626,0.7524663656949997,550,52982
3.886989,14.56551282145083,0.16327526,0.23569998,13775000,496.9941713809967,0.014952344,76.82,137750,3.8654027,0.030398503,0.774473175406456,551,52373
4.592458,12.708709944114089,0.16377032,0.112091996,13800000,497.8599810600281,0.0016952803,66.95,138000,3.8645356,0.009506389,0.7217912375926971,552,53068
3.5857139,12.27232546582818,0.16412173,0.059567995,13825000,498.71787190437317,0.0010876314,64.38,138250,3.863749,0.0054699187,0.7680888622999191,553,53646
4.0182533,12.000576048791409,0.1625811,0.12216,13850000,499.56443309783936,0.0029146732,63.2,138500,3.862821,0.010253874,0.7443925440311432,554,53167
3.2702575,12.794567285776138,0.16341402,0.11875601,13875000,500.43069553375244,0.0043705297,67.25,138750,3.8621387,0.009760501,0.7778207361698151,555,52456
3.5234592,12.77163584953174,0.16076508,0.182892,13900000,501.28684544563293,0.0061772494,67.18,139000,3.8614547,0.017692363,0.7669212818145752,556,52543
2.7146206,16.280255415737628,0.16448861,0.288664,13925000,502.1443655490875,0.022046398,85.57,139250,3.8605983,0.045406174,0.7904638051986694,557,53666
2.263414,16.62494712397456,0.16698466,0.143452,13950000,502.99890875816345,0.0021873426,87.45,139500,3.8582816,0.012088148,0.8056525141000748,558,54122
2.4625962,13.647455251216888,0.16562511,0.112808004,13975000,503.86996030807495,0.002477834,71.77,139750,3.8543134,0.009921871,0.7923035323619843,559,51061
2.3743186,15.023020799160003,0.16558114,0.11601999,14000000,504.7689139842987,0.0014413918,79.38,140000,3.8510208,0.009497019,0.7886105924844742,560,51661
2.098204,16.267371252030134,0.16675824,0.24531603,14025000,505.64166045188904,0.0092687495,85.64,140250,3.8467324,0.20667405,0.8098582923412323,561,53447
2.103336,15.181140492893755,0.16761994,0.195352,14050000,506.5044836997986,0.005092854,79.89,140500,3.842935,0.018015064,0.8049805164337158,562,53494
1.7375864,21.790801590271293,0.16782646,0.113751985,14075000,507.3500452041626,0.0013709106,114.82,140750,3.8392773,0.01044712,0.8436309993267059,563,53617
1.7068663,23.851358452588318,0.17137948,0.039492,14100000,508.1953043937683,-0.0018703848,125.63,141000,3.8357346,0.004022696,0.8428020775318146,564,52792
1.622048,26.042783869206904,0.1702224,0.131568,14125000,509.0504403114319,0.0017778542,137.14,141250,3.8316543,0.010834439,0.8571904301643372,565,52807
1.7603338,25.248652164936065,0.17045166,0.107400015,14150000,509.91772651672363,0.0020287742,133.01,141500,3.8276362,0.008426923,0.8456586003303528,566,53632
