value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
0.47529697,0.029116,4.410477,0.8636579662561417,109250,239.22,437,53281,-0.0015655436,0.03531538,384.19544982910156,10925000,0.0031525823,9.414470790466293
0.407051,0.038096,4.4070535,0.8260173946619034,109500,250.0,438,31886,-0.0014623742,0.04121898,385.04886054992676,10950000,0.0036526402,10.304744696470443
0.41953927,0.046916,4.403009,0.8001581877470016,109750,245.71,439,55769,-0.0016702771,0.033796642,386.21721959114075,10975000,0.0041696182,8.716476959413848
0.87862456,0.04156,4.400275,0.6085391342639923,110000,240.5,440,56553,-0.000527396,0.030729221,387.0476975440979,11000000,0.003995064,8.488233585087583
0.2857482,0.032156,4.3981423,0.8215031325817108,110250,250.0,441,54335,-0.0013644261,0.035220776,387.8725731372833,11025000,0.0033587702,8.80519376769691
0.6544394,0.020208,4.396028,0.671366810798645,110500,241.67,442,54811,-0.001086238,0.034005176,388.7049858570099,11050000,0.0027746286,9.019092021535617
0.59400666,0.032876,4.3968267,0.6988902986049652,110750,241.65,443,55934,-0.0015455046,0.031960808,389.5376615524292,11075000,0.003019927,8.54753965083044
0.46476823,0.049724,4.3964677,0.6939171254634857,111000,245.0,444,55833,-0.0014891957,0.030625122,390.3730278015137,11100000,0.00427136,8.075616167553235
0.56117904,0.027848,4.393969,0.6883078813552856,111250,242.36,445,53360,-0.0016358399,0.03106024,391.23289370536804,11125000,0.0030214007,8.254704704303295
0.22819717,0.033660002,4.3898034,0.8435307741165161,111500,247.58,446,54284,-0.0019411821,0.03290992,392.08579778671265,11150000,0.003277575,8.329090643259697
0.34746283,0.043404,4.3803935,0.8523346185684204,111750,242.96,447,53136,-0.0013419206,0.033428874,392.93712639808655,11175000,0.0041096914,8.686280117991846
0.4744381,0.041883998,4.372123,0.8334619253873825,112000,234.47,448,54401,-0.0011279718,0.028619047,393.797244310379,11200000,0.00381042,7.872693398865813
0.5263851,0.041432,4.3674393,0.7968566119670868,112250,240.97,449,54831,-0.0014807683,0.034527905,394.64857482910156,11225000,0.003951555,9.12233822742477
0.385488,0.019531999,4.365807,0.8712784647941589,112500,243.67,450,55591,-0.00127691,0.034520563,395.4902036190033,11250000,0.0024961478,8.997703889496625
0.3477431,0.051008005,4.3638334,0.8767207339406013,112750,247.6,451,54783,-0.0016184289,0.03730665,396.3135793209076,11275000,0.0046004085,9.318251898456365
0.28823543,0.03702,4.3610783,0.8610705882310867,113000,238.49,452,52169,-0.0015792719,0.027129363,397.1728775501251,11300000,0.0035265714,7.259923981022257
0.3035461,0.039956,4.3588495,0.8628367185592651,113250,247.69,453,53139,-0.0015121109,0.034804597,398.0538065433502,11325000,0.0040416853,8.690705246138386
0.42126474,0.038552,4.353149,0.827042743563652,113500,242.6,454,54947,-0.0013867703,0.034924723,398.90271162986755,11350000,0.0037140013,9.004191314596683
0.71245867,0.02778,4.34824,0.8234421014785767,113750,229.46,455,54603,-0.00010856332,0.035410874,399.78163290023804,11375000,0.0032808557,9.845182478414426
0.48741388,0.038744003,4.3443475,0.8575760722160339,114000,237.29,456,48029,-0.000805864,0.033433173,400.67808508872986,11400000,0.0037920573,8.997621361539933
0.56094027,0.031792,4.34042,0.8564586490392685,114250,230.63,457,49743,-0.00022143769,0.03215701,401.6118440628052,11425000,0.0033452276,9.175393606976067
0.46486363,0.015384001,4.3373976,0.8203495144844055,114500,244.23,458,55152,-0.0010019209,0.033586863,402.4997203350067,11450000,0.002238611,8.803886158391833
0.3708232,0.036144,4.3330145,0.8466650694608688,114750,245.13,459,55722,-0.002284499,0.035944235,403.3409855365753,11475000,0.003613708,9.08113489240408
0.28712133,0.028932001,4.329029,0.8657825887203217,115000,247.89,460,51915,-0.0017539939,0.03475929,404.20472717285156,11500000,0.003162089,8.817179315544708
0.42714983,0.027096,4.3187737,0.8767215684056282,115250,232.27,461,49764,-0.00061742787,0.028191939,405.0734040737152,11525000,0.0032461055,7.895020427857526
0.67539126,0.048744,4.310058,0.8170123249292374,115500,239.53,462,53540,-0.0016862452,0.03661981,405.96777153015137,11550000,0.004352917,9.841990617588817
