total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
1850000,18500,0.113348104,72.69012331962585,0.048697803,0.8820773065090179,33.8,55806,74,0.0029947704,-0.0019793515,0.025884002,1.3090685264205422,5.1309314
1875000,18750,0.118272066,73.57129001617432,0.048728123,0.8794135227799416,29.53,56035,75,0.0032421208,-0.001864016,0.028487999,0.9663883890908164,5.1209154
1900000,19000,0.105862044,74.4641592502594,0.051608488,0.8981166407465935,33.71,54142,76,0.0032425504,-0.0018588254,0.028276,1.2960879033128003,5.11273
1925000,19250,0.13130486,75.35564231872559,0.04508508,0.8793259114027023,29.39,55268,77,0.003533645,-0.0021319657,0.033544,1.0087942264788103,5.1048455
1950000,19500,0.12200638,76.24702000617981,0.048088375,0.8688537925481796,29.87,53004,78,0.0036070782,-0.0026223261,0.0352,0.9627561096356294,5.098484
1975000,19750,0.12288089,77.12946844100952,0.047933273,0.8723161369562149,35.18,56939,79,0.0030400003,-0.0020848117,0.026639998,1.0592271307188275,5.0937057
2000000,20000,0.1220866,77.99384188652039,0.047405455,0.8802055642008781,31.2,52960,80,0.0027512682,-0.0020175006,0.022468,1.0074453058888502,5.089761
2025000,20250,0.09471606,78.90072512626648,0.048309155,0.9019936472177505,30.87,55132,81,0.0035043296,-0.001955301,0.033903997,1.0650716329543501,5.081734
2050000,20500,0.10898258,79.783212184906,0.049745858,0.8980311676859856,26.71,54421,82,0.0037958443,-0.0023043447,0.037844002,1.185232674937006,5.0729094
2075000,20750,0.09374596,80.6698043346405,0.050961763,0.9055832177400589,28.52,52628,83,0.0029632344,-0.0016603058,0.023696,0.7510627189736261,5.064732
2100000,21000,0.10989432,81.57720923423767,0.049717333,0.8789073377847672,28.04,55578,84,0.0035203062,-0.0022051844,0.033559997,1.0084284376338473,5.055845
2125000,21250,0.096670054,82.45961427688599,0.051999114,0.9000916033983231,31.78,55738,85,0.0035778873,-0.0020480957,0.035047997,1.24934354678393,5.044421
2150000,21500,0.08206656,83.34233570098877,0.05134633,0.9113734811544418,31.13,55524,86,0.0031732828,-0.0017395649,0.026795998,1.2054573095542218,5.031757
2175000,21750,0.099331506,84.22816371917725,0.050392445,0.8969305083155632,28.66,53778,87,0.0031060402,-0.002121515,0.030155998,0.9427898168895262,5.021556
2200000,22000,0.082151055,85.11806058883667,0.051437594,0.9140000939369202,29.23,54900,88,0.002761323,-0.0019241453,0.023608,1.1032273959870145,5.0125327
2225000,22250,0.102963805,85.99443507194519,0.049400337,0.8982713147997856,28.52,53839,89,0.0029057474,-0.001837596,0.025308002,0.8337894211055573,5.0038085
2250000,22500,0.08514688,86.9109194278717,0.051668994,0.9161550775170326,29.96,52113,90,0.003478441,-0.0022927448,0.033512,1.3479514983311673,4.994986
2275000,22750,0.09479216,87.84433889389038,0.051008735,0.910978339612484,27.07,52798,91,0.0030671146,-0.002120536,0.0264,1.0533370352588827,4.987624
2300000,23000,0.099277094,88.76282334327698,0.055428218,0.901803731918335,30.16,54249,92,0.0038759927,-0.0017775722,0.039336003,1.3232786081816084,4.9806547
2325000,23250,0.093356,89.64285492897034,0.053386007,0.8990968987345695,31.88,52631,93,0.0035183062,-0.0018309985,0.0328,1.2336046561957983,4.9730606
2350000,23500,0.10777698,90.55542159080505,0.051139556,0.9008638262748718,29.87,54129,94,0.0030138989,-0.0019620731,0.027603999,1.1945391175334044,4.9645452
2375000,23750,0.09708534,91.4464590549469,0.05362971,0.9078233540058136,30.26,52916,95,0.0037082625,-0.0021769216,0.035824,1.1679751300855856,4.9564543
2400000,24000,0.10542051,92.34943342208862,0.053191476,0.9041252359747887,31.77,53494,96,0.0030941248,-0.0016842991,0.026563998,1.2017647953021424,4.947664
2425000,24250,0.09696373,93.25547862052917,0.05482979,0.9057221189141273,32.98,54951,97,0.002817784,-0.0017340828,0.024632,1.3450730979289711,4.944139
2450000,24500,0.09848819,94.13295030593872,0.054771442,0.9096640422940254,29.03,54593,98,0.0030223588,-0.0019215733,0.026003998,1.0180235668485103,4.94122
2475000,24750,0.09661536,95.0523796081543,0.05441861,0.9080134481191635,34.59,48108,99,0.0029760902,-0.0016413782,0.027603999,1.3986548877696554,4.933921
2500000,25000,0.09294027,96.01397204399109,0.053638317,0.9160391092300415,29.84,55183,100,0.0039171395,-0.0021775733,0.039216,1.3239473089265812,4.925196
2525000,25250,0.115769826,96.90909004211426,0.056591276,0.8970722779631615,30.34,54352,101,0.0059140837,-0.0015312462,0.0734,1.1185665178790714,4.9185247
