fps,true_reward,clipfrac,ep_reward_mean,policy_loss,n_updates,value_loss,total_timesteps,ep_len_mean,explained_variance,serial_timesteps,policy_entropy,time_elapsed,approxkl
74470,1.0362415,0.17179999,257.9954283570091,-0.0017614824,139,22.089401,3475000,245.78,0.48076778650283813,34750,2.6372592,106.69950747489929,0.013502346
71679,1.0474001,0.13334401,262.34339661073477,-0.0018139422,140,4.4281244,3500000,249.73,0.8098688274621964,35000,2.6358943,107.42281675338745,0.0105887465
73037,0.99433994,0.47726002,225.5664921836515,0.02174006,141,106.06157,3525000,214.77,0.18595945835113525,35250,2.6297145,108.1640191078186,0.09100814
73064,0.966749,0.21984799,206.15901210229407,0.005479079,142,155.21149,3550000,196.77,0.1777346134185791,35500,2.62644,108.88384819030762,0.019358147
73985,1.0073185,0.134116,242.7625463263868,-0.0014165328,143,78.86279,3575000,229.58,0.30018818378448486,35750,2.624824,109.5933849811554,0.0098537635
65477,1.0346423,0.127824,251.02092628498008,-0.002428062,144,38.269753,3600000,237.58,0.3631971478462219,36000,2.6252325,110.31754684448242,0.0090505695
71335,1.030004,0.104243994,252.41442912175583,-0.0019809424,145,18.539001,3625000,242.95,0.5224282741546631,36250,2.622437,111.0917239189148,0.007895103
70557,1.0385897,0.12951602,257.5410301236376,-0.0013562867,146,26.044489,3650000,244.53,0.43382740020751953,36500,2.6206744,111.83713269233704,0.00941155
71615,1.0502774,0.151516,263.4086229593658,-0.0021700563,147,11.593744,3675000,248.85,0.6378748118877411,36750,2.61945,112.57906937599182,0.011514531
70526,1.0366973,0.22802003,256.14613562333346,0.0001926145,148,29.472965,3700000,242.69,0.44346851110458374,37000,2.61613,113.31887340545654,0.019138258
68755,0.9700281,0.31320003,219.50921238893955,0.008501612,149,138.12009,3725000,210.24,0.11436331272125244,37250,2.6143806,114.07209038734436,0.032169107
72309,0.96444505,0.34638,209.41103582902986,0.014253156,150,153.3781,3750000,201.59,0.11240887641906738,37500,2.6143284,114.81955480575562,0.043773096
72313,0.976008,0.24688801,222.5887487272578,0.005725074,151,121.49974,3775000,213.45,0.1446245312690735,37750,2.6140826,115.55785465240479,0.020727504
60259,0.9998469,0.14952001,235.74876351340987,0.002218475,152,81.46757,3800000,225.76,0.2361236810684204,38000,2.614386,116.3025004863739,0.012926431
70866,1.0088105,0.133788,250.03184298900837,-0.0015820792,153,33.36062,3825000,243.13,0.46597111225128174,38250,2.6142542,117.11339664459229,0.010003463
65202,1.0075258,0.078068,238.08782117311281,-0.0010109757,154,67.00877,3850000,228.25,0.21206676959991455,38500,2.6142807,117.87914299964905,0.0064353226
66977,1.0434611,0.135156,256.20787232875506,-0.0024207742,155,18.34263,3875000,243.41,0.49809688329696655,38750,2.613696,118.7336802482605,0.009544955
61566,1.0067289,0.14935601,242.37767682702045,-0.00024093964,156,72.15527,3900000,230.49,0.2736467719078064,39000,2.6124945,119.53084397315979,0.011383267
66664,1.0436401,0.13338399,261.43748648316904,-0.002314386,157,17.647099,3925000,247.86,0.5429092645645142,39250,2.6130538,120.33443880081177,0.009607467
72508,1.0385975,0.091327995,248.4207338194723,-0.0018716824,158,43.59449,3950000,233.86,0.324834942817688,39500,2.6128561,121.1144950389862,0.0068555316
72818,1.0431525,0.13188401,247.31101340439315,-0.0022565087,159,38.801838,3975000,233.02,0.3519333004951477,39750,2.6101415,121.8601336479187,0.009352487
73635,1.0393877,0.09946,252.10418161828932,-0.0011002407,160,33.583706,4000000,238.21,0.41815507411956787,40000,2.6064022,122.59320163726807,0.008351872
73425,1.0553163,0.086512,262.62049724129446,-0.002448853,161,12.692615,4025000,247.11,0.598747730255127,40250,2.6010902,123.30681157112122,0.006564339
72599,1.052305,0.132296,259.872849295898,-0.0018911198,162,19.028332,4050000,244.65,0.45014387369155884,40500,2.5968487,124.04189419746399,0.009528668
72596,1.0373408,0.188348,253.90025524684836,-0.0021238422,163,27.894154,4075000,241.0,0.4053118824958801,40750,2.5973701,124.78519058227539,0.013522051
72868,1.0432427,0.15260401,255.7993920742082,-0.002406735,164,14.517049,4100000,243.87,0.5386572480201721,41000,2.5962112,125.53203129768372,0.011511562
72352,1.029246,0.13466,249.1872108350313,-0.0015648607,165,36.69878,4125000,237.87,0.32197242975234985,41250,2.594784,126.2740957736969,0.0098176105
71270,1.0435083,0.14509599,257.30347602561,-0.0011975202,166,13.914517,4150000,245.15,0.5363030433654785,41500,2.5975127,127.01795172691345,0.011755261
72418,1.0298331,0.193104,253.78291777130363,-0.0015198559,167,23.555536,4175000,243.57,0.4142155051231384,41750,2.599615,127.76583623886108,0.015207753
67943,1.0174611,0.128744,244.56903208618635,-0.00052656094,168,48.218544,4200000,234.58,0.30877625942230225,42000,2.6023002,128.51793479919434,0.009500062
71053,1.0174154,0.15548399,252.70543589267734,-0.0026293912,169,39.609398,4225000,242.44,0.37029463052749634,42250,2.6012464,129.3163561820984,0.011102164
69204,1.0321175,0.183208,246.2657789410389,-0.00017649829,170,41.610874,4250000,233.81,0.3089956045150757,42500,2.6005516,130.06260895729065,0.01293208
72663,1.0428343,0.14718401,256.7796111968909,-0.0026745736,171,22.354916,4275000,243.51,0.44361233711242676,42750,2.5990968,130.81231141090393,0.0109409485
73090,0.9994659,0.076284,233.52902402223503,-5.1603507e-05,172,88.82288,4300000,223.08,0.19081264734268188,43000,2.598874,131.53640365600586,0.006114052
72690,1.023455,0.13656,245.76506691571515,-0.0020240278,173,50.977516,4325000,233.6,0.3229045867919922,43250,2.5980062,132.26357650756836,0.010192365
73406,1.0315994,0.11983601,249.02956933660775,-0.0014507226,174,40.932682,4350000,236.67,0.3007276654243469,43500,2.5946286,132.97463011741638,0.008851433
70018,1.0176394,0.16535601,243.9135794571769,-0.0026618186,175,53.53599,4375000,233.16,0.25738197565078735,43750,2.591104,133.7019259929657,0.011208714
72477,1.0257372,0.12730399,254.7819891260907,-0.0019022145,176,30.44983,4400000,244.19,0.3962875008583069,44000,2.5919068,134.45967864990234,0.010991142
71598,1.033155,0.208196,255.2066395756884,-0.0011818813,177,36.042915,4425000,242.17,0.3310384154319763,44250,2.5961134,135.20514512062073,0.014511956
70944,1.0471183,0.166564,259.18504089459634,-0.0007021547,178,8.894626,4450000,246.52,0.6484031081199646,44500,2.6006765,135.94368267059326,0.012801823
70783,1.0463989,0.198412,261.04806457308064,-0.00201615,179,11.795025,4475000,247.76,0.6366296112537384,44750,2.604856,136.70705246925354,0.015504546
72921,1.0555,0.15603201,262.5191396309042,-0.0014179961,180,9.549541,4500000,247.45,0.6327798068523407,45000,2.6080122,137.4525978565216,0.012331822
74387,1.0399758,0.15234,258.3262527931275,-0.0022957842,181,20.02113,4525000,245.35,0.52871173620224,45250,2.610351,138.1695261001587,0.010763786
73540,1.0303905,0.158164,248.64158172791772,-0.0018076117,182,42.112125,4550000,236.73,0.26747560501098633,45500,2.6137905,138.89863514900208,0.011481483
72879,1.0450072,0.173152,259.1449123721175,-0.0025861901,183,13.114337,4575000,246.15,0.59030482172966,45750,2.6175835,139.62843322753906,0.01283066
70497,1.0523375,0.104872,262.5831495255396,-0.002345583,184,11.251204,4600000,247.83,0.6488706767559052,46000,2.626003,140.36107969284058,0.0077612153
72235,1.0351378,0.107963994,252.87705702975677,-0.0017320964,185,30.211536,4625000,240.3,0.41967493295669556,46250,2.6313937,141.0950963497162,0.008293973
