serial_timesteps,n_updates,ep_reward_mean,approxkl,explained_variance,true_reward,total_timesteps,fps,time_elapsed,value_loss,clipfrac,policy_loss,policy_entropy,ep_len_mean
128750,515,4.291514377798885,0.016793491,0.9850750779733062,0.26510206,12875000,69873,405.9467439651489,0.24682672,0.171784,0.005031881,4.3051066,37.66
129000,516,5.249743480663747,0.009893255,0.9757864885032177,0.2636536,12900000,68397,406.6996810436249,0.32426548,0.122588,-0.00033416133,4.301988,41.32
129250,517,3.7583445011265577,0.008488523,0.9815499074757099,0.2650212,12925000,67804,407.4606297016144,0.24996038,0.112588,-0.0016260216,4.2956867,36.09
129500,518,3.920089779011905,0.008320165,0.9916370566934347,0.267757,12950000,69736,408.22250747680664,0.113516964,0.108187996,-0.000105075436,4.291956,36.93
129750,519,4.671848711948842,0.014973516,0.9848047429695725,0.26653272,12975000,67583,408.98990297317505,0.2057385,0.19525601,0.00093780784,4.2882853,39.0
130000,520,3.374514396972954,0.010441897,0.9963902414310724,0.26499036,13000000,69262,409.7500021457672,0.047866035,0.134556,0.0014514859,4.284987,34.54
130250,521,4.206702394708991,0.009035425,0.9714041352272034,0.26465893,13025000,69361,410.4933786392212,0.38520187,0.115748,-0.0005462628,4.279294,37.44
130500,522,4.177767358440906,0.009297212,0.9758016616106033,0.26534736,13050000,70489,411.24221539497375,0.34153035,0.121176004,-0.0017390428,4.2809553,37.58
130750,523,5.335310110934079,0.0076312283,0.9722728412598372,0.26811647,13075000,70497,411.9770076274872,0.3942833,0.095092,-3.452217e-05,4.2817283,40.58
131000,524,4.844764718394726,0.016759962,0.9847130449488759,0.26617447,13100000,70546,412.7186689376831,0.22590704,0.194244,0.0061960826,4.2780204,40.07
131250,525,4.597140351962298,0.004214706,0.9860830418765545,0.2685069,13125000,69836,413.4570240974426,0.19269311,0.045556,-0.0018273639,4.2746186,39.35
131500,526,4.920523925740272,0.0045995135,0.9804107639938593,0.26596677,13150000,68573,414.198201417923,0.32287946,0.054487996,-0.0018448567,4.2724133,40.37
131750,527,5.250450844112784,0.008017218,0.973345035687089,0.26610547,13175000,67073,414.96365237236023,0.3751228,0.09624,0.0005436062,4.2716703,41.47
132000,528,4.845045576542616,0.014093334,0.9915760988369584,0.26957187,13200000,68592,415.72879815101624,0.11803398,0.18159202,0.0024642455,4.26895,40.62
132250,529,4.280635830853134,0.0112798195,0.9894376816228032,0.26927546,13225000,70111,416.47903323173523,0.13980857,0.147116,0.0013110933,4.263387,38.32
132500,530,5.194096934851259,0.012664361,0.9797412380576134,0.26673606,13250000,71195,417.22033762931824,0.28589398,0.161596,0.0017003901,4.258821,41.12
132750,531,5.365184475891292,0.011335839,0.9776504095643759,0.26773015,13275000,69038,417.96051692962646,0.3078062,0.1521,-0.0004928696,4.255529,41.16
133000,532,4.896630993299186,0.0067820377,0.9808464031666517,0.26571235,13300000,62437,418.7190670967102,0.25711465,0.08490799,-0.0012591577,4.2497106,40.26
133250,533,4.951981564573944,0.006513053,0.9771319516003132,0.268366,13325000,68262,419.5221908092499,0.31840894,0.079412,-0.0005230069,4.245768,40.22
133500,534,4.742640585042536,0.0071019693,0.986056063324213,0.26738188,13350000,70740,420.2919087409973,0.19422789,0.09504,-0.0014585647,4.244195,39.58
133750,535,6.153833298534155,0.007645064,0.9780553560703993,0.26793373,13375000,67230,421.01943850517273,0.30461398,0.10282401,-0.0018769953,4.2397027,43.97
134000,536,4.855728955343365,0.011340396,0.9677663147449493,0.2678034,13400000,70867,421.78498125076294,0.4518446,0.15759198,-0.0013632266,4.2350826,39.42
134250,537,5.04051922397688,0.008999596,0.9800366163253784,0.26581544,13425000,69201,422.51228523254395,0.27329236,0.116372004,-0.00024510105,4.2317824,40.33
134500,538,5.012985793463886,0.0062391805,0.970534885302186,0.2656202,13450000,70025,423.2641749382019,0.41397578,0.079332,-0.0023204207,4.2301583,40.79
134750,539,5.102497593984008,0.008530113,0.975405303761363,0.26865926,13475000,69057,424.00776171684265,0.34024137,0.113352,-0.0009156916,4.229124,40.99
135000,540,5.598839930277318,0.0052320426,0.9868292836472392,0.26914048,13500000,70987,424.74518489837646,0.17868286,0.062844,-0.0011559867,4.228396,42.8
135250,541,5.829254889618605,0.008475475,0.9832491632550955,0.26791763,13525000,69658,425.47651267051697,0.23161249,0.098348,-0.00030157337,4.227231,43.69
135500,542,5.722157981675118,0.02374854,0.9731210358440876,0.2670334,13550000,70365,426.22225761413574,0.37158042,0.25517598,0.0056729345,4.2247143,42.71
135750,543,4.40539233520627,0.015491264,0.987777765840292,0.2686901,13575000,70166,426.9637887477875,0.17827941,0.20167999,0.0028923904,4.222933,38.96
136000,544,4.9367699230089785,0.008375967,0.9844229891896248,0.26555452,13600000,69032,427.7107689380646,0.21752818,0.11167599,5.5974768e-05,4.2212095,40.41
136250,545,5.422066841442138,0.0054750964,0.9806850869208574,0.2688196,13625000,69409,428.4578022956848,0.27727586,0.067924,-0.0016754025,4.2183905,41.86
136500,546,5.614962077159435,0.0056652087,0.984465747140348,0.26612827,13650000,71255,429.20009994506836,0.21918955,0.0703,-0.001986993,4.216525,42.92
136750,547,5.445639177840203,0.004998277,0.9799724314361811,0.26750904,13675000,65105,429.9441297054291,0.28100744,0.059856005,-0.0008720065,4.2150006,42.2
137000,548,5.457269351240248,0.0072096423,0.9715540912002325,0.26835895,13700000,69864,430.7109708786011,0.39377233,0.094192,-0.0010797827,4.2134843,42.43
137250,549,5.298645317498594,0.0064061983,0.9669609516859055,0.26824602,13725000,71192,431.45456886291504,0.45896953,0.082584,-0.00301676,4.2129602,41.49
137500,550,4.6419136459939185,0.0062199594,0.9852230912074447,0.26826692,13750000,71791,432.1868350505829,0.20843768,0.079579994,-0.0014465702,4.2117863,39.39
137750,551,4.995858908034861,0.010675937,0.9740488920360804,0.26556206,13775000,69276,432.9234471321106,0.37394655,0.135808,0.0025009792,4.2088566,40.3
138000,552,4.538118386846036,0.009796048,0.9805050417780876,0.26771912,13800000,70884,433.66446232795715,0.2813118,0.13089201,3.4624874e-05,4.205243,38.47
138250,553,5.653525085784495,0.013772364,0.9651632010936737,0.26524687,13825000,69365,434.39224767684937,0.5079545,0.18049599,0.001614105,4.2025137,42.08
138500,554,4.80879752099514,0.01295725,0.9867975544184446,0.26743233,13850000,70446,435.13424921035767,0.19132595,0.172272,-0.0003172808,4.2009916,39.77
138750,555,5.663089050073177,0.009792494,0.9837412871420383,0.2680389,13875000,69788,435.875634431839,0.22344252,0.12479601,0.001714472,4.1984563,42.54
139000,556,4.881954361237586,0.0064491243,0.9915244290605187,0.2677374,13900000,69277,436.6173965930939,0.117290296,0.081379995,-0.0007168895,4.194724,40.1
139250,557,5.1469455613382165,0.02062215,0.9830776732414961,0.2667921,13925000,68770,437.3694145679474,0.2484219,0.240592,0.0020646097,4.1909413,40.49
139500,558,4.07227685008198,0.007523913,0.9911625748500228,0.2662176,13950000,69716,438.12147307395935,0.12101339,0.09376,0.00031909315,4.18924,37.26
139750,559,4.516233360823244,0.011422856,0.9871462062001228,0.26651856,13975000,68578,438.8591504096985,0.18746792,0.15398799,-0.00059531594,4.1876035,38.83
140000,560,4.321528958231211,0.0048087155,0.9928447306156158,0.26680434,14000000,68356,439.61305260658264,0.101867795,0.054856002,-0.0019700215,4.184447,37.99
140250,561,4.434625587966293,0.008681135,0.9879320655018091,0.26621673,14025000,70745,440.37092542648315,0.17130707,0.112256005,-0.0004509058,4.1788797,38.14
140500,562,4.258877251502127,0.034163486,0.9919821294024587,0.26572478,14050000,68063,441.10381031036377,0.115289375,0.31675598,0.0091829505,4.174171,37.33
140750,563,4.838234017211944,0.011426088,0.9639670699834824,0.26292834,14075000,70196,441.86014437675476,0.50779724,0.14082001,0.0008341849,4.17175,39.23
141000,564,4.7669695634022355,0.021918405,0.9830701537430286,0.26611987,14100000,69377,442.6105945110321,0.2340024,0.23932,0.0034534712,4.1699157,39.14
141250,565,4.671272390261293,0.023836963,0.9715965762734413,0.26799864,14125000,68974,443.3558394908905,0.40620178,0.24835601,0.004292167,4.1664023,38.36
141500,566,5.179450099132955,0.017356072,0.9836933054029942,0.2685673,14150000,68537,444.1177752017975,0.23587406,0.210584,0.0028610427,4.1641903,40.68
141750,567,4.829817468523979,0.005382426,0.9843894159421325,0.26852453,14175000,68029,444.8720908164978,0.227294,0.064288,-0.001210763,4.161815,39.28
142000,568,4.682989687845111,0.011818963,0.9721341673284769,0.26728648,14200000,66893,445.67904806137085,0.39721972,0.16225201,-0.0010039285,4.1583834,38.8
142250,569,5.219457425493747,0.0033941953,0.9810790233314037,0.26637757,14225000,68249,446.44166445732117,0.27703503,0.034604,-0.002137965,4.1553392,40.35
142500,570,5.222039709109813,0.008761098,0.9716754779219627,0.26683274,14250000,70206,447.193612575531,0.4154169,0.11909201,-0.00041575963,4.151445,40.28
142750,571,3.9832833876274525,0.0100279655,0.9842660594731569,0.26701766,14275000,69016,447.9331781864166,0.23357205,0.135584,0.00019226832,4.146649,36.42
